"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Albanian
# Translation ID: albanian_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/albanian_rwwad
# Last update: 2026-05-25 09:36:32 (v1.0.5-csv.1)
# Check for updates: https://quranenc.com/check/albanian_rwwad/v1.0.5-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Me emrin e Allahut, të Gjithëmëshirshmit, Mëshirëplotit.",""
2,1,2,"Lavdërimi i takon Allahut, Zotit të botëve,",""
3,1,3,"të Gjithëmëshirshmit, Mëshirëplotit,",""
4,1,4,"Sunduesit të Ditës së Gjykimit.",""
5,1,5,"Vetëm Ty të adhurojmë dhe vetëm prej Teje ndihmë kërkojmë.",""
6,1,6,"Udhëzona në rrugën e drejtë!",""
7,1,7,"Në rrugën e atyre që i begatove e jo në të atyre që kundër vetes tërhoqën hidhërimin, as në rrugën e të humburve!",""
8,2,1,"Elif, lam, mim![1]","[1] Këto janë disa shkronja të gjuhës arabe që gjenden në fillim të disa sureve. Urtësia kryesore e tyre është të tregojnë mrekullinë dhe sfidën e Kuranit: ndonëse ai është i përbërë nga këto shkronja, me të cilat arabët flasin, ata nuk qenë në gjendje të sillnin qoftë edhe një sure të ngjashme me të, edhe pse ishin njerëzit më elokuentë. Kjo dëshmon se Kurani është Fjalë e Zotit dhe jo krijim njerëzor."
9,2,2,"Ky është Libri në të cilin nuk ka dyshim; është udhërrëfyes për të devotshmit,",""
10,2,3,"të cilët e besojnë gajbin[2], e falin namazin dhe japin nga ajo që u kemi dhënë,","[2] Gajb është çdo gjë që është e fshehur për njeriun dhe nuk arrihet me shqisa ose mendje, por njihet vetëm nëpërmjet shpalljes."
11,2,4,"e të cilët besojnë në atë që të është shpallur ty (o Muhamed) e në atë që është shpallur para teje dhe janë të bindur për botën tjetër.",""
12,2,5,"Ata janë të udhëzuar nga Zoti i tyre dhe pikërisht ata janë të shpëtuarit.",""
13,2,6,"Sa për ata që mohojnë, është krejt njësoj: i paralajmërove apo nuk i paralajmërove, ata nuk besojnë.",""
14,2,7,"Allahu ua ka vulosur zemrat dhe veshët, kurse në sytë e tyre ka perde. Ata i pret një dënim i madh.",""
15,2,8,"Ndër njerëz ka të atillë që thonë: ""Ne kemi besuar Allahun dhe Ditën e Fundit"", porse në të vërtetë ata nuk janë besimtarë.",""
16,2,9,"Ata përpiqen të mashtrojnë Allahun dhe besimtarët, por në të vërtetë ata mashtrojnë vetëm vetveten, ndonëse nuk e hetojnë.",""
17,2,10,"Në zemrat e tyre ka sëmundje[3] e Allahu ua shton edhe më tej sëmundjen. Ata i pret një dënim i dhembshëm për shkak se gënjejnë.","[3] mëdyshje."
18,2,11,"Kur atyre u thuhet: ""Mos bëni çrregullime në tokë!"", thonë: ""Ne jemi vetëm përmirësues!""",""
19,2,12,"Vini re! Pikërisht ata janë çrregulluesit, megjithëse nuk e ndiejnë.",""
20,2,13,"E, kur atyre u thuhet: ""Besoni edhe ju siç besuan njerëzit e tjerë"", ata thonë: ""Vallë, të besojmë sikurse mendjelehtët?"" Vini re! Mu ata janë mendjelehtët, por nuk e dinë.",""
21,2,14,"Kur takohen me besimtarët, thonë: ""Ne besojmë"", por, kur mbesin vetëm me djajtë (krerët) e tyre, thonë: ""Ne përnjëmend jemi me ju, ne thjesht po talleshim"".",""
22,2,15,"Allahu është Ai që tallet me ta dhe i lë të bredhin verbërisht në humbjen e tyre.",""
23,2,16,"Ata këmbyen udhëzimin me humbjen, rrjedhimisht tregtia e tyre nuk u solli kurrfarë dobie e as që ishin të udhëzuar në rrugën e drejtë.",""
24,2,17,"Shembulli i tyre është sikurse shembulli i atyre që ndezin një zjarr dhe, kur ai ndriçon vendin rreth tyre, Allahu ua shuan dritën e i lë në errësirë të plotë, ku nuk mund të shohin.",""
25,2,18,"Ata janë të shurdhër, memecë dhe të verbër, prandaj nuk kthehen.",""
26,2,19,"Ose u ngjan atyre që, gjatë një shtrëngate nga qielli përplot errësirë, bubullimë e vetëtimë, i mbyllin veshët me gishtat e tyre për të mos dëgjuar ushtimën nga frika e vdekjes. Allahu i ka nën mbikëqyrje jobesimtarët.",""
27,2,20,"Vetëtima pothuajse ua merr shikimin. Sa herë që u bën dritë, ata ecin e, kur errësohet, ndalen. Po të donte Allahu, do t'ua merrte dëgjimin dhe shikimin. Vërtet Allahu është i Plotfuqishëm për çdo gjë.",""
28,2,21,"O njerëz! Adhurojeni Zotin tuaj, i Cili ju krijoi ju dhe ata që ishin para jush, që të mund të ruheni!",""
29,2,22,"Ai jua bëri Tokën shesh e qiellin çati dhe nga qielli zbriti ujë, përmes të cilit nxori fruta si ushqim për ju. Prandaj, mos i sajoni Allahut ortakë, ndërkohë që ju e dini (se Ai nuk ka ortakë).",""
30,2,23,"E, në qoftë se dyshoni në atë që ia kemi zbritur robit Tonë (Muhamedit), atëherë sillni një sure të ngjashme me të dhe thirrni (në ndihmë) ndihmësit tuaj në vend të Allahut, nëse e thoni të vërtetën.",""
31,2,24,"Mirëpo, në qoftë se nuk mund ta bëni këtë, – gjë që kurrsesi nuk do të mund ta bëni, – atëherë ruajuni Zjarrit, lëndë djegëse e të cilit janë njerëzit e gurët dhe i cili është përgatitur për jobesimtarët.",""
32,2,25,"Ndërkaq, ata që besojnë dhe bëjnë vepra të mira, përgëzoji me kopshte të Xhenetit, nëpër të cilat rrjedhin lumenjtë. Sa herë që u shërbehet aty ndonjë frutë për të ngrënë, ata thonë: ""Këto i kemi ngrënë edhe më parë."" Atyre do t'u jepen fruta të ngjashme (në pamje), për ta do të ketë bashkëshorte të dëlira dhe aty do të qëndrojnë përgjithmonë.",""
33,2,26,"Sigurisht që Allahu nuk ngurron të sjellë çfarëdo shembulli, qoftë dhe një mushkonjë ose diçka më të madhe a më të vogël se ajo. Ata që besojnë e dinë se kjo është e vërteta nga Zoti i tyre, kurse jobesimtarët thonë: ""Çfarë deshi të thotë Allahu me këtë shembull?"" Përmes tij, Allahu çon në humbje shumë njerëz dhe udhëzon shumë të tjerë. Në fakt, Ai i çon në humbje vetëm të pabindurit,",""
34,2,27,"të cilët e thyejnë besën e Allahut pasi e patën dhënë dhe i shkëpusin lidhjet të cilat Allahu ka urdhëruar të ruhen, si dhe bëjnë çrregullime në Tokë. Ata janë të humburit.",""
35,2,28,"Si mund ta mohoni Allahun, ndërkohë që ju nuk ishit në jetë e Ai jua dha jetën, pastaj do t'ju bëjë të vdisni, më pas do t'ju ringjallë dhe, në fund, do të ktheheni tek Ai?!",""
36,2,29,"Ai krijoi për ju çdo gjë që gjendet në Tokë, mandej iu drejtua qiellit duke krijuar e përsosur shtatë qiej. Ai është i Gjithëdijshëm për çdo gjë.",""
37,2,30,"Kujto kur Zoti yt u tha melekëve: ""Unë po krijoj një mëkëmbës në Tokë."" Ata thanë: ""A do të krijosh në të të atillë që bëjnë trazira dhe derdhin gjak, ndonëse ne të lavdërojmë, të madhërojmë e të lartësojmë?!"" Ai tha: ""Unë di atë që ju nuk dini.""",""
38,2,31,"Ai ia mësoi Ademit emrat e gjithçkaje, pastaj ua paraqiti melekëve, duke thënë: ""M'i tregoni emrat e tyre, nëse ajo që thoni është e vërtetë!""",""
39,2,32,"Ata thanë: ""I Patëmeta je Ti! Ne nuk dimë asgjë përveç asaj që na ke mësuar Ti. Në të vërtetë, Ti je i Gjithëdijshmi, i Urti.""",""
40,2,33,"Ai tha: ""O Adem, tregojua atyre emrat e gjërave."" E, kur ua tregoi emrat e tyre, Allahu tha: ""A nuk ju kam thënë se Unë e di gajbin (të fshehtën) e qiejve dhe të Tokës dhe e di atë që e shfaqni e atë që e fshihni?""",""
41,2,34,"Gjithashtu, kujto kur Ne u thamë melekëve: ""Bjerini në sexhde[4] Ademit!"" Të gjithë ranë në sexhde, përveç Iblisit, i cili kundërshtoi, u tregua mendjemadh dhe u bë jobesimtar.","[4] Në shenjë respekti."
42,2,35,"Ne thamë: ""O Adem, ti e gruaja jote jetoni në Xhenet dhe hani në të lirshëm çfarë të dëshironi, por mos iu afroni kësaj peme, sepse përndryshe do të bëheni të padrejtë!""",""
43,2,36,"Shejtani i shtyu të gabojnë dhe i nxori[5] nga vendi ku ishin, kështu që Ne u thamë: ""Zbritni! Ju do të jeni armiq të njëri-tjetrit. Në Tokë do të jetë vendbanimi dhe furnizimi juaj deri në një kohë të caktuar.""","[5] Iblisi u bë shkak që Allahu t'i nxjerrë ata nga Xheneti."
44,2,37,"Ademi mori nga Zoti i tij disa fjalë (si të kërkonte falje), kështu që Ai ia pranoi pendimin, sepse vërtet Ai është Pranuesi i pendimit, Mëshirëploti.",""
45,2,38,"Ne u thamë: ""Zbritni së andejmi, që të gjithë! Kur t'ju vijë udhëzimi nga Unë, ata që do ta ndjekin udhëzimin Tim, as do të kenë frikë, as do të pikëllohen.",""
