"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Amharic
# Translation ID: amharic_zain
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/amharic_zain
# Last update: 2026-01-20 14:45:38 (v1.0.1-csv.1)
# Check for updates: https://quranenc.com/check/amharic_zain/v1.0.1-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"1. በአላህ ስም እጅግ በጣም ሩህሩህ በጣም አዛኝ በሆነው (እጀምራለሁ)::",""
2,1,2,"2. ምስጋና ሁሉ ለዓለማቱ ጌታ ለአሏህ ይገባው።",""
3,1,3,"3. እጅግ በጣም ሩህሩህ በጣም አዛኝ ለሆነው::",""
4,1,4,"4. የፍርዱ ቀን ባለቤት ለሆነው (ለአላህ ብቻ ይገባው)::",""
5,1,5,"5. (ሙስሊሞች ሆይ! ጌታችሁን) አንተን ብቻ እንገዛለን:: ካንተም ብቻ እርዳታን እንለምናለን (በሉ)።",""
6,1,6,"6. ቀጥተኛውን መንገድ ምራን::",""
7,1,7,"7. የእነዚያን ለእነርሱ በጎ የዋልክላቸውን፤ በእነርሱ ላይ ያልተቆጣህባቸውንና ያልተሳሳቱትንም ሰዎች መንገድ (ምራን በሉ)::",""
8,2,1,"1. አሊፍ ፤ ላም፤ ሚም፤",""
9,2,2,"2. ይህ መጽሐፍ (ቁርኣን) (ከአላህ የተወረደ ለመሆኑ) ምንም ጥርጥር የለበትም:: አላህን ለሚፈሩም ሁሉ መመሪያ ነው::",""
10,2,3,"3. ለእነዚያ በሩቁ ነገር ለሚያምኑት፤ ሶላትንም ደንቡን ጠብቀው ለሚሰግዱት፤ ከሰጠናቸዉ ሲሳይም ለሚለግሱ።",""
11,2,4,"4. ለእነዚያም ወደ አንተ በተወረደው መጽሐፍና ካንተ በፊትም በተወረዱት መጽሐፍት ሁሉ ለሚያምኑ፤ በመጨረሻው ቀን መኖርም ለሚያረጋግጡ ሰዎች ሁሉ (መመሪያ ነው)፡፡",""
12,2,5,"5. እነዚያ (የተጠቀሱትን ባህሪያት የሚላበሱ ሰዎች ሁሉ) በጌታቸው መመሪያ ላይ በትክክል የሚጓዙ ናቸው:: ፍላጎታቸውን ያገኙትም እነርሱ ብቻ ናቸው፡፡",""
