"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Bisayan
# Translation ID: bisayan_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/bisayan_rwwad
# Last update: 2025-12-23 09:30:43 (v1.1.3-csv.1)
# Check for updates: https://quranenc.com/check/bisayan_rwwad/v1.1.3-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Sa Ngalan sa Allah Ang Labing Madagayaon, Ang Labing Maluloy'on.",""
2,1,2,"Ang Tanang pagdayeg alang lamang sa Allah, ang Ginoo[1] sa tanang binuhat.","[1] I.e., Magbubuhat, Tigsustento ug Magmamando."
3,1,3,"Ang Labing Madagayaon, ang Labing Maloloy'on.",""
4,1,4,"Ang Nanag-iya / Hari sa adlaw sa paghukom.",""
5,1,5,"Kanimo lamang kami magasimba ug Kanimo lang kami magadangop ug magapangayo ug tabang,",""
6,1,6,"Giyahi kami ngadto sa Matul'id nga Dalan (sa Islam, ug ipabilin kami niini).",""
7,1,7,"Ang dalan niadtong Imong gipanalanginan [2], dili (sa dalan) niadtong ngadto kanila anaa ang Imong Kasuko[3], ni sa mga nangasalaag[4].","[2] Sa mga Propeta, ang mga nagpamatuod sa Kamatuoran, ang mga martir, ug ang mga matarung.
[3] Sila nga nasayud sa kamatuoran apan wala mosunod niini.
[4] Sila mao ang mga nahisalaag gikan sa kamatuoran, nga wala magiyahan."
8,2,1,"Alif Lam Meem[1].","[1] Ang Qur'an gilangkuban sa mga letra gikan sa Arabikong mga Alpabeto. Ang mga Arabo niadtong panahona sa diha nga ginapakanaog ang Pinadayag dili hitupngan sa ilang Hingpit nga Kahibalo sa Arabikong pinulongan apan sa dihang nga sila gihagit wala gayud sila makahimo sa pagdala ug kapitulo nga susama sa Qur'an. Bisan pa niini nga kamatuoran, si Allāh ang Labing Nahibalo sa dugang kahulogan niining maong mga letra."
9,2,2,"Kini nga Libro (ang Qur’an), walay pagduhaduha sa nahisulod niini, kini Giya alang sa mga matarong.",""
10,2,3,"Kinsa nagtuo sa dili Makita[2] ug nag-makanunayon sa ilang manga Salah (pag-ampo), ug migahin (sa Among Dalan) gikan sa unsay Among gihatag kanila (nga bahandi ug uban pa).","[2] Sama sa Pagkaanaa sa Allah, mga Anghel, dili makita nga mga espiritu, mga demonyo, sa Kinabuhi human sa Kamatayon, sa Paraiso ug Imperno, etc."
11,2,4,"Kinsa mituo sa unsay gipakanaog (ang Qur'an) nganha kanimo (Muhammad), ug sa unsay gipakanaog nga nauna pa kanimo[3], Ug sa Kinabuhing-dayon sila nakasiguro.","[3] Ang Torah, Injil 'Ebanghilyo', Zabur 'Salmo' ug uban pa."
12,2,5,"Kini mao ang anaa sa saktong Giya gikan sa 'Allāh' ilang Ginoo[4], ug kini mao ang mga nagmalampuson.","[4] I.e., Allah, ang Magbubuhat, Tigsustento ug Magmamando."
13,2,6,"Sa mga nagpadayon sa paglimod 'sa kamatuoran', managsama lamang kung gipasidan-an nimo sila o dili - dili sila motuo.",""
14,2,7,"Ang Allāh nagbutang og silyo sa ilang mga kasing-kasing ug sa ilang mga pangdungog, ug sa ilang mga panan-awon mao ang tabil, ug alang kanila mao ang hilabihan nga silot.",""
15,2,8,"Ug taliwala sa mga katawhan adunay (mga tigpaka-aron ingnon) nga nagasulti: ""Kami mituo kang Allah ug sa Ulahing Adlaw; apan sila dili mga magtutuo.""",""
16,2,9,"Sila naninguha sa pag-ilad kang Allah ug sa mga nagatuo (Kaniya), apan wala silay nailad gawas lamang sa ilang mga kaugalingon ug sila wala makaamgo niana.",""
17,2,10,"Sa ilang mga kasingkasing adunay sakit (sa pagduhaduha) ug gidugangan pa sa Allah ang ilang sakit, ug alang kanila adunay silot nga hilabihan kasakit tungod sa ilang kanunay nga pagpamakak.",""
18,2,11,"Sa dihang igasulti ngadto kanila: ""Ayaw kamo pagbuhat ug kadautan (kagubot) sa kayutaan""; sila ingon: ""Kami repormador lamang"".",""
19,2,12,"Sa pagkatinuod, sila maoy ang mga kurakot, apan sila wala makaamgo niini.",""
20,2,13,"Ug sa dihang gisulti ngadto kanila sa pagtuo ingon nga ang (mga sumulunod sa Propeta Muhammad) mituo, sila miingon: ""Motuo ba kami, sama sa gituohan sa mga buang-boang?"" Sa pagkatinuod sila sa ilang kaugalingon mao ang mga buang, apan sila wala masayod niini.",""
21,2,14,"Sa diha nga sila magtagbo sa kadtong mituo, Sila miingon: ""Kami mituo (sama kaninyo)""; Apan kun silasila na lamang kauban sa ilang mga satanas (mga pangulo sa mga Judio ug mga pagano), sila muingon: ""Sa pagkatinuod kami uban kaninyo, kami nagbugal-bugal lamang"".",""
22,2,15,"Ang Allāh ang mobiay-biay kanila, ug Siya mobiya kanila nga pasagdan sila aron magdugang ang ilang mga paglapas, nga mga buta ug naglatagaw.",""
23,2,16,"Kini sila mao ang mipalit sa Pagkahisalaag baylo sa giya, busa ang ilang pakigsabot nagdala ug walay kapuslanan; ni sila wala giyahi.",""
24,2,17,"Ang ilang panag-ingnan sama sa panag-ingnan niadtong nagpadilaab og kalayo, apan sa diha nga kini nagdan-ag na sa iyang palibut, Ang Allah mikuha sa ilang kahayag ug mibiya kanila sa hingpit nga kangitngit, (busa) sila dili makakita.",""
25,2,18,"(Sila mga) bungol, amang (ug) buta, busa sila dili magabalik pa (sa husto nga dalan).",""
