"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Fulani
# Translation ID: fulani_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/fulani_rwwad
# Last update: 2024-10-14 23:42:23 (v1.0.2-csv.1)
# Check for updates: https://quranenc.com/check/fulani_rwwad/v1.0.2-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"He innde Allah jurumdeero jormotooɗo oo",""
2,1,2,"Denndaangal jettooɗe ngoodanii joom binnde.",""
3,1,3,"Jurumdeero jurmotooɗo",""
4,1,4,"Jeyɗo ñalngu njoɓdi",""
5,1,5,"Ko Aan tan min ndewata te ko Aan tan min mballintoo.",""
6,1,6,"Feewnu min e laawol pooctingol",""
7,1,7,"Laawol ɓeen ɓe neemin-ɗaa ɓe ngonaa tikkanaaɓe te ɓe majjaani.",""
8,2,1,"Alif, Laam, Miim.[1]","[1] Ɗe alkule taƴaaɗe e arwan'de cimooje ɗe njoopiiima won'de alkur'aana no roŋkina ɗum yani dikkaade sirkooɓe ɓe ɓe ndoŋki aarnaade ɗum tafra ko ɗe alkule ɗe ɗemngal arabi tafori tinndi ni roŋker arabi addude yeru mum wond'ude e pasintaagal maɓɓe waɗde alkur'aana ko wahyu ummaade e alla"
9,2,2,"Ndeen deftere sikke alaa he mayre, ko nde peewal wonande hulɓe ɓee",""
10,2,3,"Ɓeen goongɗinooɓe mbirniindi eɓe ñiiɓna juulde eɓe nafga he ko Min njeɗi ɓe.",""
11,2,4,"E ɓeen goongɗinooɓe ko jippini dow maa e ko jippinaa ado ma, eɓe njananaa ñalaande wattan.",""
12,2,5,"Ɓeen dey ngoni ko e peewal iwngal e Joomii ɓe, ko kamɓe ngoni daɗooɓe.",""
13,2,6,"Ɓeen yedduɓe foti a jeertinii ɓe wolla a jeertinaani, fof foti he mum maɓɓe.",""
14,2,7,"Alla muppi ɓerɗe maɓɓe, wirngallo woni e noppi e gite maɓɓe lette mawɗe na woodani ɓe.",""
15,2,8,"Na woodi heen yimɓe wi'ooɓe min ngoongɗinii Alla e ñalaande wattan, tawa ɓe ngoongɗinaani.",""
16,2,9,"Eɓe koda Alla e goongɗinɓe ɓe, alaa mbo ɓe kodata so wonaa ko'e maɓɓe tawa ɓe tinaani.",""
17,2,10,"Ko ñawu woni he ɓerɗe maɓɓe, Alla ɓeydani ɓe ñawu , maa lette muusɗe njan he mum en sabu ko ɓe penannoo.",""
18,2,11,"So ɓe mbi'aama hoto mbonnee he lesdi ndii ɓe mbi'a minen ko min moƴƴinooɓe.[1]","[1] Ɓe nodditoroo peewal tawa ko bonnooɓe."
19,2,12,"Ko kamɓe tigi ngoni bonnooɓe kono ɓe tinataa ɗum.",""
20,2,13,"So ɓe mbi'aama ngoongɗinee wano yimɓe ɓee ngoongɗiniri nii, ɓe mbi'a mbela min ngoongɗinat wano ɗaayɓe ɓee ngoongɗiniri nii, kono ko kamɓe tigi ngoni ɗaayɓe kono ɓe nganndaa.",""
21,2,14,"So tawii ɓe kawrii he goonɗinɓe ɓee, ɓe mbi'a: min ngoongɗinii, so ɓe njeewdii e seyɗanooji maɓɓe ɗii ɓe mbi'a: minen ko onon min ngonndi min njalkitat tan.",""
22,2,15,"Alla na jalkita ɓe O ɓeydana ɓe bewre ɓe ngona e wemmbere.",""
23,2,16,"Ko ɓeen ngoni soodirɓe peewal majjere njulaagu maɓɓe alaa tono, te ɓe peewaano.",""
24,2,17,"Ɓe nanndi ko he kuɓɓuɗo jayngol nde ngol yaynii Alla nawi ooyre maɓɓe O acci ɓe e niɓɓe ɓe nji'ataa hay huunde.",""
25,2,18,"Ko fahɗuɓe muumɗuɓe wumɓe ɓe nduttotaako",""
26,2,19,"Wolla wano toɓo iwde asamaan waɗngo niɓɓe e digaali e maje ɓe cukka noppi maɓɓe sabu kartaali (parñite) ngam reentaade maayde , Alla noon Ombo fiiltii geɗe heeferɓe.",""
27,2,20,"Majal ngal na ɗeɓa diftaade gite maɓɓe kala nde ngal yaynii ɓe njaha heen so niɓɓiɗii ɓe ndaroo, so Alla welano nawa nanɗe e gite maɓɓe sabu Alla ko kattanɗo kala huunde.",""
28,2,21,"Onon yimɓe ndewee Joom mon tagɗo on tagi adiiɓe on mbela joo kulon Alla.",""
29,2,22,"Oon baɗanɗo on lesdi ndi mbertu O waɗi Asamaan o mahoodi tiiɗndi O jippini ndiyam iwde e Asamaan O yaltini heen ɓiɓɓe leɗɗe woni njeɗu mon, taa mbaɗanee Alla nanndidiiɓe te oɗon nganndi goonga oo.",""
30,2,23,"So tawii oɗon cikkitii e Kur'aana mbo Min njippini dow jeyaaɗo Amen oo, ngaddee simoore nanndunde hembo, noddee wallidiiɓe mon gaa Alla so tawii oɗon ngoongɗi e nodditaandu mon ndu.",""
31,2,24,"So tawii on mbaɗaani ɗum -te on mbaɗataa ɗum - kulee jayngol kuɓɓirtengol yimɓe e kaaƴe, ngol heblanaa ko heeferɓe ɓee.",""
32,2,25,"Weltin ɓeen goongɗinɓe ɓe ngolli moƴƴe wonde eɓe keɓa aljannaaji caalli na ndonga les majji kala nde ɓe njeɗaa toon ɓiɓɓe leɗɗe ɓe mbi'a ko ɗee min njeɗanoo ko adii, ɓe totteeɗe he nanndal, eɓe keɓa toon rewɓe laaɓɓe ɓe ñiiɓida toon.",""
33,2,26,"Alla aamantaa addude yeru hay so wonii wano ɓowngu e ko ɓuri ɗum, so tawii ko goonɗinɓe eɓe nganndi ko goonga iwɗo e Joom maɓɓe, so tawii ko yedduɓe ɓe mbi'a holko Alla yiɗi he oo yeru Ombo majjina heewɓe O feewna heen heewɓe, alaa majjinteeɗo heen so wonaa yaltuɓe ɗoftaare.",""
34,2,27,"Ɓeen firtooɓe aadi Alla ɓaawo tiiɗneede mbo eɓe taƴa ko Alla yamiri yo jokke eɓe mbonna ka lesdi , ko kamɓe ngoni rusɓiiɓe (pertuɓe)",""
35,2,28,"Holno njeddirton Alla tawi on ngoodaano O woodni on rewi heen O wara on rewa heen O wuurtina on ɓaawo ɗuum ko he Makko nduttoto-ɗon.",""
36,2,29,"Kanko tagani on kala ko woni he lesdi ndii ɓaawo ɗuum O fa'ndii asamaan oo fotndi mbo asamaaji jeeɗiɗi , ko o gannduɗo kala huunde.",""
37,2,30,"Nde Joom maa wiy maleykaaji ɗii maa Mi waɗ lomto Am he lesdi (leydi) ndii, ɓe mbi'i mbela a waɗat heen bonnoowo dufoowo ƴiiƴe , tawa minen ko Aan tan min njettata mi-ɗen cennu maa, O wi'i Miin Miɗo anndi ko on nganndaa.",""
38,2,31,"O anndini Aadama inɗe ɗee fof, rewi heen O holli ɗe malaykaaɓe ɓe O wi' kaalanee Kam inɗe ɓee ɗoo so tawii oɗon ngoongɗi.",""
39,2,32,"Ɓe mbi'i senaande woodanii Ma alaa ko min nganndi so wonaa ko nganndin-ɗaa min ko Aan tan woni ganndidɗo kala huunde ñeeñɗuɗo.",""
40,2,33,"O wi'i aan Aadama anndin ɓe inɗe majji nde o anndini ɓe inɗe ɗee O wi'i mbela Mi wi'aano on Miin Miɗo anndi mbirniindi asamanji e lesdi Miɗo anndi ko peññinton e ko cuuɗoton fof.",""
41,2,34,"Nde Min mbi'i malaykaaɓe ɓee cujjanee Aadama ɓe cujji so wonaa Ibliisa o salii o mawnikinii ndeen o jeyaa e yedduɓe.",""
42,2,35,"Min mbii aan Aadama yah hoɗoy aljanna aan e debbo maa ñaamee toon ko welata on kala ɗo mbela-ɗon taa ɓado-ɗee kii lekki ndeen on jeyete e tooñɓe.",""
43,2,36,"Seyɗaane hoomti ɓe haa yaltini ɓe e moƴƴere nde ɓe ngonndoo Min mbi'i ɓe njippo-ɗee ngonon añondirɓe keɓon ñiiɓal dow lesdi ndii e dakmitaare haa happu yonta.",""
44,2,37,"Aadama heɓi konngi iwde e Joom mum O accani mo ko Kanko woni jaafotooɗo jurmotooɗo.",""
45,2,38,"Min mbi'i njippo-ɗee toon onon fof so tawii Mi addii e mon peewal kala dewɗo peewal am ɓeen dey kulol alanaa ɓe kadi ɓe cunotaako.",""
46,2,39,"Ɓeen yedduɓe penni maandeeji amen ko ɓeen ngoni yimɓe jayngol ko toon ɓe ñiiɓata.",""
47,2,40,"Onon ɓiɓɓe Isra'iil ciftoree moƴƴere am nde mbaɗan-mi on njottinee aadi am Mi yottina aadi mon te kulon Kam Miin tan.",""
48,2,41,"Ngoongɗinee ko njippin-mi na goongɗini ko njogi-ɗon koo, taa ngonee adiiɓe yeddude ɗum wota on eto soodirde aayeeje am ɗee coodgu hoyngu, kulee kam Miin tan.",""
49,2,42,"Taa jiiɓindiree goonga he fenaande oɗon cuuɗa goonga oo tawa oɗon nganndi mbo.",""
50,2,43,"Ñiiɓnee juulde tottiron asakal ɗigganon njankinano-ɗon Alla.",""
51,2,44,"Mbela on njamirat yimɓe ɓee ɗiggere njejjiton ko'e mon tawa oɗon njannga deftere ndee, mbela on kakkilantaa ɗum.",""
52,2,45,"Mballitoree muñal e juulde, pellet ende saɗti so wonaa he ɓeen yankiniiɓe ɓee.",""
53,2,46,"Ɓeen yananaaɓe maa kawru e joom maɓɓe ko he Makko ɓe nduttotoo",""
54,2,47,"Onon ɓiɓɓe Isra'iil ciftoree neemaaji am ɗi neemin-mi on, ko miin tigi ɓurni on he dow winndere dee.",""
55,2,48,"Kulee ñande fittaandu alaa ko waawani fittandu woɗndu , ndu jaɓantaake tefangol goɗɗo coodtiigu kadi jaɓetaake ɓe keɓataa ballo.",""
56,2,49,"Tuma Min ndaɗndii on he yimɓe Fir'awna, ɓe mbaɗii on lette bonɗe ɓe kirsa ɓiɓɓe mon ɓe ngoppa rewɓe mon nguura, ina he ɗuum lette mawɗe iwde ga Joom mon.",""
57,2,50,"Nde Min peccani on maayo ngo min ndaɗndi on min njooli yimɓe Fir'awna oɗon ndaarda gite mon ŋaas.",""
58,2,51,"Nde min podani Muusaa jammaaji capanɗe nayi fawii heen ndew-ɗon gool oo caggal makko, onon ko on tooñooɓe.",""
59,2,52,"Fawii heen min ngaccani on ɓaawo ɗuum mbela joo njetton.",""
60,2,53,"Nde Min ngaddani Muusa deftere ndee e seerndirde ndee mbela joo peewon.",""
61,2,54,"Nde Muusaa wi' yimɓe makko onon yimɓe am on tooñii ko'e mon nde ndew-ɗon gool oo, nduttoɗee to tagɗo on oo, mbarto-ɗon ɗuum ɓuri moƴƴande on to Joom mon O accana on Kanko woni gaccanoowo jurmotooɗo.",""
62,2,55,"Nde mbi'-ɗon Muusaa min ngoongɗitaa haa min nji'a Alla ko laaɓi ndeen hartaango (jayngol iwde asamaan) ɓami on oɗon ndaarda gite mon.",""
63,2,56,"Fawii heen min nguurtini on ɓaawo nde maay-ɗon mbela joo njetton.",""
64,2,57,"Min ɗuwdini on duule Min njippinani on njuumri ndakmundi e colli juɗaaɗi ñaamee e belɗi ko min njeɗi on, wonaa Minen ɓe tooñi ko ko'e maɓɓe ɓe tooñatnoo.",""
65,2,58,"Min mbi' naatee ndee sahre ñaamon heen ko mbela-ɗon mbeltoron naatee damal ngal oɗon njankinii mbi'on accan min ndeen min njaafoo on goopi mon min ɓeydana moƴƴinɓe ɓee moƴƴereeji.",""
66,2,59,"Tooñɓe ɓee mbayliti konngol ngol ɓe mbi'anoo ndeen min njippini dow tooñooɓe ɓee lette sabu ko ɓe ngonnoo koo faasiqeebe.",""
67,2,60,"Nde Muusaa toranii yimɓe mum ndiyam min mbi'i fiyu haayre ndee sawru maa nduu ndeen gite ndiyam sappo e ɗiɗi puccitii heen yimɓe ɓee fof keɓi yarde, ñaamee njaree e njeɗu Alla taa mbaɗee bonannde dow lesdi ndi.",""
68,2,61,"Nde mbi'-ɗon aan Muusaa min njondintaako e ñaamdu wooturu torano min Joom maa O yaltinana min puɗi lesdi gila he kappe e haakooji e Laaj e ñebbe e basalle (jabaa) mayri o, wi'i mbela on njiɗ lomtinde ko ɓuri moƴƴude koo, keɓon ko ɓuri jaasde ɗuum njippo-ɗee Misara maa on keɓ ko tori-ɗon koo ɓe pawaa koyeera e woroɗde ɓe nduttorii e tikkere Alla sabu ɓe njedduno aayeeje eɓe mbara Annabaaɓe ko aldaa e goonga ɗuum noon ko goopi e tooñe maɓɓe.",""
69,2,62,"Ɓeen goongɗinɓe e ɓeen yahodinɓe e nasaara en, e ɓe ngalaa diine en ,kala goongɗinɗo Alla e ñalaande wattan o golli ko moƴƴi ɓeen keɓata njoɓdi to Joom maɓɓe kulol alanaa ɓe te kamɓe ɓe cunotaako.",""
70,2,63,"Nde min ɓami aadi mon min ummini fello Tuur dow mon , ƴettee ko min ngddani on he semmbe ciftoree ko woni heen mbela joo kulon Alla.",""
71,2,64,"Fawii heen caggal ɗuum nduŋti-ɗon so wonaano ɓural Alla e yurmeende Makko dow mon maa on njeye e bonnoraaɓe.",""
72,2,65,"On nganndii ɓeen tooñɓe he mon ñande hoore-biir (samdi) min mbi'i ɓe ngontee baaɗi booraaɗi.",""
73,2,66,"Min mbaɗi ɗum woni maande teskuye wonande ɓe e aroyooɓe e tinndinoore wonande hulɓe Alla ɓe.",""
74,2,67,"Muusaa wi'i yimɓe makko Alla yamirii on nde kirsoton nagge ɓe mbii mbela nanngir-ɗaa min ko ɗaayɓe? o wi'i: miɗo moolii Alla jeyeede e majjuɓe.",""
75,2,68,"Ɓe mbi'i du'ano min Joom maa o laɓɓinana min no nge wa'i. O wi'i: ko nagge nge wonaa nayeewe wonaa ñale ko hakindiinge mbaɗee ko njamira-ɗon koo.",""
76,2,69,"Ɓe mbi'i torano min Joom maa o laɓɓinana min ngoobu (kulor) magge ? O wii: Oon wi'i ko sooye no feewi enge weli laarde.",""
77,2,70,"Ɓe mbi'i du'ano min Joom maa o laɓɓinana min no nge wa'i sabu na'i ɗii nanndirii min maa min njiytu nge.",""
78,2,71,"O wi'i Kanko dey o wi'i ko nagge ne'iraange golle remru ngesa, kono wonaa yarnude gese, ko hisnge nge jillaani, ɓe mbi'i jooni dey a addii goonga ɓe kirsi nge kono ɓe ɗeɓaani waɗde yamiroore ndee.",""
79,2,72,"Nde mbar-ɗon feɗtaandu ngon-ɗon he tuumondirde, ko Alla yaltini ko cuuɗno-ɗon.",""
80,2,73,"Min mbii tappindiree ɗi ko noon Alla wuurtinirta maayɓe o holla on kaawase Makko mbela joo kakkilon.",""
81,2,74,"Fawii heen ɓerɗe mon ɗee njoori ɓaawo ɗuum ɗe mba'i no kaaƴe maa ɓura noon, sabu kaaƴe na ngoodi jaltinooje caalli goɗɗe na peecoo njaltina ndiyam goɗɗe kadi njowtoo njana sabu hulde Alla, Alla noon yeebotaako ko ngolloton koo.",""
82,2,75,"Mbela oɗon ɗaminii maa ɓe ngoonɗinan on tawa na woodi e maɓɓe sete nanoowo haala Alla ɓe mbaylita ka caggal nde ɓe paami ɓe nganndi ka.",""
83,2,76,"So ɓe kawri e goonɗinɓe ɓee ɓe mbi'a min ngoonɗinii so ɓe njeewdii ɓe mbi'a mbela on kaalanat ɓe ko Alla udditani on, ɓe kujjoroo on ɗum to Joom mon, mbela on kakkilantaa",""
84,2,77,"Mbela ɓe nganndataa wonde Alla Mbo anndi ko ɓe cuuɗta e ko ɓe ɓaŋnginta.",""
85,2,78,"Na woodi he maɓɓe humambinneeɓe ɓe nganndaa he deftere ndee sonaa janngugol penaale ɗe ɓe nganndinaa, ɓe ngonaani so wonaa sikkude tan.",""
86,2,79,"Bone woodanii ɓeen winndirooɓe deftere nde juuɗe maɓɓe eɓe mbi'a ɗum ko to Alla iwri haa ɓe coodira nde coodgu hoyngu, yoo bone wonan ɓe he ko juuɗe maɓɓe mbinndi e kala ko ɓe paggitii heen.",""
87,2,80,"Ɓe mbi'i jayngol memataa min sinaa balɗe seeɗa wi' ɓe mbela on keɓii fodoore Alla te Alla luutndotaako aadi Makko wolla ngon-ɗon ko haalde he Alla ko on nganndanaa.",""
88,2,81,"Ko goonga kala mbo faggitii bonannde bonɗi makko piilii mo, ko ɓeen ngoni yimɓe jayngol luttooɓe toon.",""
89,2,82,"Ɓeen goongɗinɓe ɓe ngolli moƴƴereeji ko ɓeen ngoni yimɓe aljanna luttooɓe toon.",""
90,2,83,"Min ɓamii fodoore he ɓiɓɓe Isra'iil taa ndewee sonaa Alla , moƴƴon he jibnaaɓe e jiidaaɓe e waayɗuɓe e waasɓe oɗon kaalana yimɓe ɓee ko moƴƴi ndarnon juulde tottiron asakal ɓaawo ɗuum cali-ɗon ɗuurni-ɗon so wonaa seeɗa he mooɗon.",""
91,2,84,"Nde min ƴetti fodoore mon wota on nduf ƴiiƴe mon taa on njaltin ko'e mon galleeji mon ɗii ndeen njaɓ-ɗon ceediɗon ɗum.",""
92,2,85,"Rewi heen onon ɓee oɗon mbara ko'e mon oɗon njaltina yimɓe e mon galleeji maɓɓe, oɗon peññina tooñe mon e maɓɓe, si ɓe arii e mon dahaaɓe coodtiɗon ɓe yaltingol ɓe na harmi he mon, mbela on goongɗinat yoga he deftere ndee njeddon yoga heen kala he mon waɗooɓe ɗum njoɓdi maɓɓe ko koyeera weejo aduna ñande darnga ɓe nduttee he lette ɓurɗe bonde Alla noon yeebotaako ko ngolloton koo.",""
93,2,86,"Ɓeen soodirɓe laakara nguurndam aduna ɓe koynantaake lette ɓe keɓataa ballo.",""
94,2,87,"Min ngaddanii Muusaa deftere nde , ɓaawo makko min ndewni heen nulaaɓe min ngaddanii Iisaa ɓiy Maryam laɓɓinale Min cemmbiniri mo wonki tedduki mbela kala nde nulaaɗo addi he mon ko welaani pittaali mon mawnikino-ɗon yoga heen njeddon ɓe yoga heen mbaron ɓe.",""
