"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Kannada
# Translation ID: kannada_hamza
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/kannada_hamza
# Last update: 2026-01-20 14:52:45 (v1.0.3-csv.1)
# Check for updates: https://quranenc.com/check/kannada_hamza/v1.0.3-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"ಪರಮ ದಯಾಮಯನೂ ಕರುಣಾನಿಧಿಯೂ ಆದ ಅಲ್ಲಾಹನ ನಾಮದಿಂದ.[1]","[1] ಅಲ್ಲಾಹನ ಹೆಸರಿನ ಮೂಲಕ ಸಹಾಯವನ್ನು ಬೇಡುತ್ತಾ ನಾನು ಪವಿತ್ರ ಕುರ್‌ಆನ್ ಪಠಣವನ್ನು ಆರಂಭಿಸುತ್ತೇನೆ. 'ಅಲ್ಲಾಹು' ಎಂಬುದು ಅಲ್ಲಾಹನ ವಿಶೇಷ ಹೆಸರು. ಈ ಹೆಸರು ಅಲ್ಲಾಹನಿಗೆ ಮಾತ್ರ ಸೀಮಿತವಾಗಿದ್ದು, ಇತರ ಯಾರನ್ನೂ ಈ ಹೆಸರಿನಿಂದ ಕರೆಯುವ ಹಾಗಿಲ್ಲ. ಅಲ್ಲಾಹು ಎಂದರೆ ಏಕೈಕ ಸತ್ಯದೇವ ಅಥವಾ ಏಕೈಕ ಪರಮೋಚ್ಛ ದೇವ."
2,1,2,"ಸರ್ವಲೋಕಗಳ ಪರಿಪಾಲಕನಾದ[1] ಅಲ್ಲಾಹನಿಗೆ ಸರ್ವಸ್ತುತಿ.[2]","[1] ಇಲ್ಲಿ 'ರಬ್ಬ್' ಅನ್ನು ಪರಿಪಾಲಕ ಎಂದು ಅನುವಾದ ಮಾಡಲಾಗಿದೆ. ರಬ್ಬ್ ಎಂದರೆ ಎಲ್ಲಾ ಸೃಷ್ಟಿಗಳನ್ನು ಸೃಷ್ಟಿಸಿ, ಅವುಗಳ ಎಲ್ಲಾ ಅಗತ್ಯಗಳನ್ನು ಪೂರೈಸಿ, ಅವುಗಳನ್ನು ಹಂತ ಹಂತವಾಗಿ ಬೆಳೆಸುತ್ತಾ ನಿಯಂತ್ರಿಸುತ್ತಾ ಪರಿಪೂರ್ಣತೆಗೆ ತಲುಪಿಸುವವನು. 'ಆಲಮೀನ್' ಎಂದರೆ ಲೋಕಗಳು ಅಥವಾ ಪ್ರಪಂಚಗಳು. ಇಲ್ಲಿ ಲೋಕಗಳು ಎಂದರೆ, ಮನುಷ್ಯರ ಲೋಕ, ದೇವದೂತರ ಲೋಕ, ಯಕ್ಷಗಳ ಲೋಕ, ಪ್ರಾಣಿಗಳ ಲೋಕ, ಪಕ್ಷಿಗಳ ಲೋಕ ಇತ್ಯಾದಿ. ಅಲ್ಲಾಹನ ಹೊರತಾದುದೆಲ್ಲವೂ ಲೋಕಗಳಾಗಿದ್ದು ಅವನು ಈ ಎಲ್ಲಾ ಲೋಕಗಳ ಪಾಲನೆ-ಪೋಷಣೆ ಮಾಡುವವನಾಗಿದ್ದಾನೆ. 
[2] 'ಅಲ್-ಹಮ್ದ್' (ಸರ್ವಸ್ತುತಿ) ಎಂಬ ಪದದಲ್ಲಿ ಸ್ತುತಿ, ಪ್ರಶಂಸೆ, ಹೊಗಳಿಕೆಗಳೆಲ್ಲವೂ ಒಳಗೊಳ್ಳುತ್ತದೆ. ಅವೆಲ್ಲಕ್ಕೂ ಅಲ್ಲಾಹನೇ ನೈಜ ಹಕ್ಕುದಾರ. ಅವನು ಎಲ್ಲಾ ವಸ್ತುಗಳ ಸೃಷ್ಟಿಕರ್ತ, ಪರಿಪಾಲಕ, ನಿಯಂತ್ರಕ ಮತ್ತು ಅನುಗ್ರಹದಾತ. ಆದ್ದರಿಂದ ಅವನು ಪ್ರಶಂಸೆಗೆ ಅರ್ಹನಾಗಿದ್ದಾನೆ. ಅವನು ತನ್ನ ಸಾರದಲ್ಲೂ, ತನ್ನ ಹೆಸರು ಮತ್ತು ಗುಣಲಕ್ಷಣಗಳಲ್ಲೂ ಮತ್ತು ತನ್ನ ಕೆಲಸ-ಕಾರ್ಯಗಳಲ್ಲೂ ಪರಿಪೂರ್ಣನಾಗಿರುವುದರಿಂದಲೂ ಅವನು ಪ್ರಶಂಸೆಗೆ ಅರ್ಹನಾಗಿದ್ದಾನೆ."
