"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Kyrgyz
# Translation ID: kyrgyz_hakimov
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/kyrgyz_hakimov
# Last update: 2024-02-20 17:41:40 (v1.0.2-csv.1)
# Check for updates: https://quranenc.com/check/kyrgyz_hakimov/v1.0.2-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Ырайымдуу, Мээримдүү Аллахтын аты менен (баштаймын).",""
2,1,2,"Ааламдардын Раббиси – Аллахка алкыш-мактоолор болсун![1]","[1] Бул аятта Аллах таала Өзүн бизге «Ааламдардын Раббиси» деп тааныштырып жатат. Арабдардын «Рабб» деген сөзүн кыргызчага которгондо «Башкаруучу», «Ээ», «Кожоюн» жана «Тарбия кылуучу» деген маанилерди билдирет."
3,1,3,"Ал - Ырайымдуу, Мээримдүү.",""
4,1,4,"Кыямат Күндүн падышасы.",""
5,1,5,"Жалгыз Сага гана сыйынабыз жана Сенден гана жардам сурайбыз! [1]","[1] Аллах таала «Фатиха» сүрөсүнүн ушул аятынан баштап, сүрөнүн акырына чейин момун мусулмандардын атынан сүйлөйт. Мусулман адамдар күнүмдүк беш убак намаздарында «Фатиха» сүрөсүн 32 жолу кайталап окушат. Демек, алар Аллахка күнүнө 32 ирет «Жалгыз Сага гана сыйынабыз, Сенден гана жардам сурайбыз» деп ант беришет."
6,1,6,"(О, Жараткан!) Бизди туура жолго баштагын! [1]","[1] Бул аятта айтылган туура жол (сиратал мустаким) бузулбаган, бурмаланбаган таза Ислам Дини."
