"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Lingala
# Translation ID: lingala_zakaria
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/lingala_zakaria
# Last update: 2025-07-02 13:40:09 (v1.0.2-csv.1)
# Check for updates: https://quranenc.com/check/lingala_zakaria/v1.0.2-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Okombo ya Allah wa boboto atonda ngolu.",""
2,1,2,"Matondi na Allah Nkolo ya mikili.",""
3,1,3,"Atonda boboto Mpe ngolu.",""
4,1,4,"Mokonzi ya mokolo ya Lifuta.",""
5,1,5,"Yonde (Allah) tozali kobondela mpe epai nayo tozali kosenga lisalisi.",""
6,1,6,"Kamba biso na nzela ya nsemba.",""
7,1,7,"Nzela ya baye bazwa bolamu nayo ezala te nzela ya baye osilikela bango[1], ezala mpe te nzela ya baye babunga.[2]","[1] Bayuda.
[2] Baklišto."
8,2,1,"Alif, Lâm, Mîm[1].","[1] Ba suratu oyo: 2, 3, 7, 10, 11, 12, 13, 14, 15, 19, 20, 26, 27, 28, 29, 30, 31, 32, 36, 38, 40, 41, 42, 43, 44, 45, 46, 50, 68, Bibandeli na yango ezali ba letele oyo bantina na yango eyebani te, bandimbola na yango eyebi kaka ye moko Allah."
9,2,2,"Buku eye ezali na ntembe te okati na yango ezali kokamba baye babangi (Allah).",""
10,2,3,"Ba oyo bandimi na mabombami mpe batelemisi losambo mpe kowuta na maye topesaki bango bazali kobimisa.",""
11,2,4,"Mpe ba oyo bazali kondima na maye makitisamaki epai nayo mpe na maye makitisamaki liboso nayo mpe bazali kondima na mokolo ya suka.",""
12,2,5,"Bango nde bakambami kowuta epai ya Nkolo wa bango mpe bango nde balongi.",""
13,2,6,"Ya sôló ba oyo bapengwa bazali bobele bongo, okebisa bango to okebisa bango te bakondimaka te.",""
14,2,7,"Allah asila kokanga mitema mia bango mpe boyoki na bango, mpe azipi bomoni na bango mpe bakozua etumbu enene.",""
15,2,8,"Mpe okati ya bato basusu bazali koloba ete tondimi na Allah, mpe na mokolo ya suka, mpe bango bazali bandimi te.",""
16,2,9,"Bakanisi ete bazali kokosa Allah na bandimi, nzoka nde bazali komikosa sé bango moko kasi bazali koyeba te.",""
17,2,10,"Okati ya mitema mia bango mitondi na bokono, mpe Allah akobakisela bango bokono ya makasi; mpe bazali na etumbu ya makasi na maye bazalaki kokosa.",""
18,2,11,"Mpe soki bayebisi bango bobebisa te okati ya mokili, bakolobaka ete: Ya sôló biso tozali babongisi.",""
19,2,12,"Kasi bango bazali babebisi, mpe bango bazali komiyeba te.",""
20,2,13,"Mpe soki bayebisi bango, bondima ndenge bato bandimi, bakoloba ete: Boye, tondima lokola bazoba bandimi? Mpe ya sôló bango nde bazoba kasi bazali komiyeba te.",""
21,2,14,"Mpe soki bakutani na ba oyo bandima bakolobaka: Tondimi, soki bakutani epai ya bazabulu na bango, bakolobaka ete: Biso tozali elongo moko na bino, ya sôló tozali sé kotiola bango.",""
22,2,15,"Allah akotiolaka mpe bango, mpe akobakisela bango bopengwi na ntango molayi.",""
23,2,16,"Bango nde basila kosomba libungi batiki bokambemi, kasi mombongo mwa bango mozali na lifuti te, mpe bakokambama te.",""
24,2,17,"Ndakisa na bango ezali lokola moto oyo apelisi móto, mpe na tango móto engali zinga zinga na yango Allah abungisi bongengi bwa bango, mpe atiki bango okati ya molili, bakomonaka te.",""
25,2,18,"Bakoyokaka bosembo ata moke te, mpe bakolobelaka yongo ata moke te, mpe bakomona yango ata moke te, mpe bakozongaka na bosembo te.",""
26,2,19,"Lokola mapata ya moyindo lolenge mbula eyaka mpe na lokito ya nkake na bazali kotia misapi na matoyi mia bango mpo na bobangi lokito ya nkake mpe mpona bobangi ete bakufa, mpe Allah azali mozingi ya bapengwi o bisika binso.",""
27,2,20,"Etikalaki sé moke eboma miso na bango mikalali, tango inso bongengi wana ekomeli bango bakotambola, mpe soki molili mozongi batelemi, kasi soki Allah alingaki nde abomi boyoki mpe bomoni bwa bango, ya sôló Allah azali na nguya likolo lia biloko binso.",""
28,2,21,"Eh bino bato! Bobondela Nkolo wa bino oyo akeli bino mpe akeli ba oyo balekaki liboso na bino mpo bozwa bobangi.",""
29,2,22,"Ye nde oyo akeli mpo na bino mabele lokola mbeto, mpe likolo lokola etando, mpe azali kokitisa mayi kowuta likolo, mpe azali kobimisa na yango bambuma ya lolenge nyonso ezala bozwi mpo na bino, mpe bozuela Allah basangisi te wana bosili koyeba.",""
30,2,23,"Mpe soki bozali na ntembe na maye tokitisaki epai ya mowumbu na biso, boya na suratu lolenge na yango mpe bobenga banzeneneke na bino[1] na botiki Allah soki bozali bato ya bosembo.","[1] Baye oyo bazali kobondela na botiki Allah."
31,2,24,"Mpe soki bosali yango te, mpe bokokoka kosala yango te, bobanga móto oyo nkoni na yango ekozala bato na mabanga, elengelami mpona bapengwi.",""
32,2,25,"Mpe pesa sango ya malamu epai na ba oyo bandimi mpe bazali kosala misala ya malamu, ya sôló bakozala na bisika mingala mikotiola na nsé na yango. Ntango inso bazali koleisama na bambuma, bakoloba ete: Oyo nde (mbuma) toleisamaki liboso kasi, ekozala na lolenge mosusu. Mpe okati ya lola bakozala na basi baye bapetolama mpe kuna[1], bakozala seko na seko.","[1] Na kati ya lola."
33,2,26,"Ya sôló, Allah azalaka na nsoni te ya kopesa ndakisa na eloko songolo oyo ye alingi ata soki ezali eloko moke lokola ngungi to mpe ndakisa mosusu likolo na yango. Mpe mpona ba oyo bandima bazali koyeba ete yango ezali bosembo kowuta epai ya Nkolo na bango. Mpe baye bapengwa, bakoloba ete nini Allah alingi koloba na bandakisa eye? Mpona yango bayike[1] bakozala na bobungi mpe bayike bakokambama, kasi, sé bato mabe nde bazali kobungisama na yango.","[1] Ebele."
34,2,27,"Baye bazali kokata boyokani eye bayokanaki na Allah, mpe bazali kokabola maye Allah apesaki ndingisa ete ekangisama, mpe bazali kobebisa okati ya mabele; bango nde bazali bazangi.",""
