"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Lithuanian
# Translation ID: lithuanian_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/lithuanian_rwwad
# Last update: 2024-07-23 15:30:27 (v1.0.8-csv.1)
# Check for updates: https://quranenc.com/check/lithuanian_rwwad/v1.0.8-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"1. Vardan Allaho, Maloningiausiojo, Gailestingiausiojo,",""
2,1,2,"2. Visa šlovė ir dėkingumas – Allahui, Alamyn (žmonijos, džinų ir visa, kas egzistuoja) Viešpačiui [1].","[1] Žodis „Viešpats“: Korane vartojamas žodis Rab, tačiau jam lietuvių kalboje nėra vieno deramo atitikmens. Rab reiškia Vienintelį visos visatos Viešpatį, jos Kūrėją, Šeimininką, visų reikalų Tvarkytoją, Aprūpintoją, Valdytoją, Planuotoją, Palaikytoją, Globėją ir Saugumo Teikėją. Rab taip pat yra vienas iš Allaho vardų. Čia pavartotas žodis „Viešpats“ kaip artimiausias arabiško žodžio Rab atitikmuo. Visame šiame Tauriojo Korano prasmių vertime sutinkamas žodis „Viešpats“ iš tiesų reiškia žodį Rab ir turi būti suprantamas pastarojo reikšme."
3,1,3,"3. Maloningiausiajam, Gailestingiausiajam.",""
4,1,4,"4. Atpildo Dienos (t. y. Prikėlimo dienos) Vieninteliam Valdytojui (ir Vieninteliam Teisėjui).",""
5,1,5,"5. Tave (Vienintelį) mes garbiname ir Tavęs (Vienintelio) mes prašome pagalbos.",""
6,1,6,"6. Vesk mus Tiesiu keliu. [2]","[2] Vedimas yra dviejų rūšių:
a) Taufik vedimas, kuris priklauso tik nuo pačio Allaho – tik Jis atveria žmonių širdis tiesai (atveda iš netikėjimo į tikėjimą, t. y. islamiškąjį monoteizmą).
b) Iršad vedimas, vykstantis per Allaho Pasiuntinių ir dievobaimingųjų mokslininkų mokymus, skelbiančus tiesą, t. y. islamiškąjį monoteizmą."
