"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Maguindanao
# Translation ID: maguindanao_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/maguindanao_rwwad
# Last update: 2025-12-16 18:22:42 (v1.0.4-csv.1)
# Check for updates: https://quranenc.com/check/maguindanao_rwwad/v1.0.4-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Ebpunan ku matya su ingalan nu Allahu Taala a malimu (sa dunya) a sangat i kalimu nin (sa gay a mawli).",""
2,1,2,"Su langun nu bantugan (Alhamdulillah) na lekanin bu a Allahu Taala a pedtiyakap kanu sakalyan alam.",""
3,1,3,"Malimu a sangat i kalimu nin.",""
4,1,4,"Sekanin bu i datu kanu kawma nu gay a mawli.",""
5,1,5,"Seka bu (Allah) i pedsimban endu seka bu (Allah) i bangeniyan nami sa tabang.",""
6,1,6,"Tutulu kami (Allah) sa kanu lalan a matidtu.",""
7,1,7,"Lalan nu silan antu a inikalimu nengka (manga palityala), di kena su lalan nu silan antu a nalipungetan nengka, endu kena su silan antu a nangatading (manga Yahudi endu Nasrani).",""
8,2,1,"Alif-Laam-Meem (su Allah bu i mataw kanu ma’na nin).",""
9,2,2,"Su entuba a kitab (Qur’an) na dala kanduwa-duwa nin, nakadalem sa lekanin su tutulu kanu manga taw a magilek sa lekanin (Allah).",""
10,2,3,"Su silan antu a manga taw na balityalan (bangimbenalen) nilan su dala mailay nu mata nilan, (surga, naraka) endu ipedtindeg nilan su sambayang endu su ini-rizki nami kanilan na penggastun nilan.",""
11,2,4,"Endu su silan a manga taw a balityalan (bangimbenalen) nilan su nganin a nakatulun sa leka (Muhammad), endu su nganin a nakatulun a nawna pan sa leka, endu su gay a mawli na baginugutan nilan sa talutup (di gapinda kanu atay nilan).",""
12,2,5,"Silan antu a manga taw a nakambetad kanu tutulu ebpun kanu Kadenan nilan, endu silan ba i manga taw a naka-untung (sa dunya-akhirat).",""
13,2,6,"Saben-sabenal su silan a manga mig-kafir na magidsan pan i panging-gileken silan ataw ka dili, na di bun mangimbenal (kanu langun a napananggit nengka ebpun kanu Allah).",""
14,2,7,"Tinutupan nu Allah su manga pusung nilan endu su manga kapegkakineg nilan endu inumbalan nu Allah su kapegka-ilay nilan sa sapeng, sa kanilan den su siksa a sangat a masla.",""
15,2,8,"Endu su kaped kanu manga taw na pedtalu sa nalityala (nangimbenal) kami sa Allah endu sa gay a mawli, sa ula-ula a di kena silan bamalityala (bangimbenal).",""
16,2,9,"Ibagakala nilan su Allah endu su manga namalityala (nangimbenal), na dala gapagakalan nilan ya tabya na su manga ginawa nilan, sa ula-ula a di nilan egkagedam.",""
17,2,10,"Nakadalem kanu manga pamusungan (nu manga munafiq) i sakit (kamunafiq), na inumanan nu Allah sa kanilan i namba a sakit, endu kanilan su siksa a masakit sabap kanu nganin a kaaden nilan a kapendalbut nilan.",""
18,2,11,"Endu amayka pedtalun kanilan: da kanu baminasa kanu kalupan, na ya nilan kadtalu: sekami i pakagkapiya.",""
19,2,12,"Tanudan! Ka saben-sabenal a silan a manga taw i baminasa, ugayd na di nilan egkagedam.",""
20,2,13,"Endu amayka pedtalun kanilan: palityala (pangimbenal) kanu sa mana su kinapalityala (kinapangimbenal) nu manga taw, ya nilan kadtalu: enduken ka pakapalityala (pakapangimbenal) kami sa mamba sa manga taw a dala ugangen nin, (di mataw), Tanudan! silan i dala ungangen nin, ugayd na dili nilan katawan.",""
21,2,14,"Endu amayka madsumbak nilan su manga namalityala (namangimbenal), ya nilan kadtalu: nalityala (nangimbenal) kami, endu amayka makalu silan kanu manga egkanga-unutan nilan na ya nilan kadtalu: saben-sabenal na sekami na tagapeda nu, saben-sabenal na bagungaten (pedsudyan) nami bu silan.",""
22,2,15,"Su Allah i bagungat kanilan endu papendaya kanilan, kanu katadingan nilan sa manduwa-duwa silan.",""
23,2,16,"Silan a manga taw na inisambi nilan su katadingan sa tutulu, na dala silan maka-untung kanu dagangan nilan, endu dala maaden silan sa matutulu.",""
24,2,17,"Upaman nilan na mana bun silan minyag sa apuy, guna su nasalindawan nin su nganin a embala-bala sa kanilan na ini-awa nu Allah su sigay nin, sya den silan matagu kanu malibuteng sa di den silan maka-ilay.",""
25,2,18,"Manga bisu, maw, pisek silan (kanu bantang) na silan na di makambalingan (kanu bantang).",""
26,2,19,"Ataw ka ya upaman nu entu a manga taw na dadtem ebpun sa langit a nadalem lun i malibuteng endu palti endu kilat, ibetad nilan su manga lima nilan sya kanu manga tangila nilan (endu di nilan makineg) sabap kanu kilat, kagilekan sa kapatay, endu su Allah na balibet kanu manga kafir (sinumupak).",""
27,2,20,"Paydu bu gayd i di kaped-sayab nu kilat kanu kapeg-kailay nilan, uman kalinawagan silan nu kilat na lumalakaw menem silan, amayka nalibutengan silan na makatindeg menem silan, umana bu ka pigkahanda nu Allah i maawa su kakineg nilan, kailay nilan, sabena-sabenal na su Allah na egkagaga nin i langun nu enggaga-isa.",""
28,2,21,"Hay! Sekanu a manga taw, simba nu su Kadenan nu a minaden sa lekanu, endu kanu manga taw a nangawna sa lekanu, malemu-lemu sa lekanu i kagilek nu sa lekanin a Allah.",""
29,2,22,"Su Allah i minaluy sa lekanu kanu lupa a nakabelat endu su langit a pimbalay nin endu pinatulun nin sa lekanu su ulan a ebpun sa langit na pinambuat nin i manga unga sa rizki sa lekanu, na da kanu mangumbal sa manga salepeng nu Allah a pedsimban sa ula-ula a sekanu na katawan nu.",""
30,2,23,"Endu amayka ya nu kaaden i penduwa-duwa kanu (Arab, Yahudi, Nasrani) kanu nganin a initulun nami (a Qur’an) kanu ulipen nami (Muhammad) na enggay kanu sa satiman bu a surah a pagidsan nin, endu tawag nu su manga tabangay nu a salakaw kanu Allah amayka ya nu kaaden i bantang kanu.",""
31,2,24,"Amayka di nu manggalebek endu di nu den a benal manggalebek na ikagilek nu su apuy a ibalaleg lun na manga taw endu manga watu (barahala) nilan, inipagadil kanu manga kafir.",""
32,2,25,"Panudtul ka (pakalilini ka) (Muhammad) kanu silan a manga taw a namalityala (namangimbenal) endu minggalebek silan sa manga mapya i saben-sabenal na aden kanilan i manga surga a pedtuga (pelagilay) sa kababan nin i manga lawas a ig, uman silan rizkiyan sa manga unga na kayu na ya nilan madtalu na man bun ba su nawna antu a nakawma sa lekitanu, initalingguma kanilan su rizki a makadsusulagida, endu aden kanilan lu sa surga i manga kaluma a suti, endu silan a manga taw kanu surga na taman sa taman (dayun sa dayun).",""
33,2,26,"Saben-sabenal su Allah na di nin ikaya i kapangupama nin sa upaman, apiya pan mana bu tagenek, u di na labi lawan pan lun su manga namalityala (namangimbenal) na katawan nilan su Haqq (bantang) na ebpun kanu Allah, su manga kafir menem na ya nilan kadtalu: ngin i kahanda nu Allah sa namba a upaman? Sa pakatadin sa madakel a pakatutulu bun sa madakel, na dala gatadin ya tabya na su manga taw a faasiq (baladusa).",""
34,2,27,"A su silan antu a manga taw a binaluba nilan (da nilan tumana) su pasad sa Allah sa ulyan na kinapalut nin endu pedtebpeden nilan su nganin a inisugu nu Allah i kapadsumpat lun (su kadsusuled) endu baminasa silan kanu kalupan sa entu ba silan a manga taw a nangalugi.",""
35,2,28,"Panun i kapeg-kafir nu sa kanu Allah sa ula-ula ya nu kaaden na manga minatay kanu, na inuyag kanu nin (sya sa dunya) mawli na imatayan kanu nin, mawli na uyagen kanu menem (kanu kabangkit sa dunya), mawli na lu kanu langun sa lekanin (Allah) makambalingan.",""
36,2,29,"Sekanin (Allah) i minaden sa lekanu kanu nganin a dalem nu lupa sa langun, mawli na migkahanda lu sa langit, binaluy nin menem su pitu lapis a langit, sekanin (Allah) kanu langun nu enggaga-isa na katawanin.",""
