"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Macedonian
# Translation ID: macedonian_group
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/macedonian_group
# Last update: 2024-12-15 14:23:47 (v1.0.1-csv.1)
# Check for updates: https://quranenc.com/check/macedonian_group/v1.0.1-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"1.Во името на Аллах, Семилосниот, Милостивиот![1]","[1] Овој ајет, кај муслиманите познат по својата оригинална форма – Бисмиллах, се пов­торува пред секое поглавје во Куранот, освен пред деветтото. Еднаш е спомнат во поглавјето Немл како дел од ајет. Се смета дека тој е интегрален дел од Куранот и дека е објавен поради раздвојување на поглавјата едно од друго."
2,1,2,"2. Сета благодарност Му припаѓа на Аллах[2], Господарот на световите[3].","[2] Аллах е арапски збор за Единиот Бог. Истото значење го има арамејскиот збор Елох. Во христијанството се користи поимот Отецот, а во јудаизмот Јахве.
[3] Рабил Алемин – Господарот на световите. Зборот „Ер-Раб“ (со одреден член) го означува Оној Кој поседува сè и апсолутно располага со сè. Зборот Ел-Алемин означува сè, освен Возвишениот Аллах."
3,1,3,"3. Семилосниот, Милостивиот.",""
4,1,4,"4. Владетелот на Судниот ден.",""
5,1,5,"5. Само Тебе Те обожуваме и само од Тебе помош бараме!",""
6,1,6,"6. Упати нè на Правиот пат[4].","[4] Сиратул мустеким – Правиот пат, тој означува пат кој е прав и широк; тоа е пат на кој нема нагорнини, надолнини, ниту кривини."
7,1,7,"7. На патот на тие на коишто благодатта им ја подари, а не на тие коишто гневот го предизвикаа ниту на тие што заталкаа!",""
8,2,1,"1. Елиф-лам-мим![1]","[1] Елиф, лам и мим се букви од арапската азбука. Многу поглавја во Куранот поч­ну­ваат со овие и со други букви (та-син-мим, каф-ха-ајн-сад, ја-син, та-ха) кои се читаат самостојно, не образувајќи зборови. Ваквите курански стихови ука­жу­ва­ат на недостижноста на Куранот како Божја објава. По секој ваков стих, следи друг каде што се спомнува Куранот и неговата објава од Господарот на световите."
9,2,2,"2. Оваа Книга[2], во која нема сомнеж, е Упатство за богобојазливите.","[2] Книга – Објава, Откровение од Бог до човештвото. Се употребува за сите Откро­ве­нија, а конкретно тука се однесува само на Куранот. За Куран се смета само арап­ски­от текст кој е неговата изворна форма, непроменета и сочувана повеќе од 14 ве­ка од самото објавување коешто траело во период од 23 години. Затоа сè останато е само превод на значењето на оригиналниот арапски текст."
10,2,3,"3. За тие што веруваат во гајбот[3] (невидливото), го извршуваат намазот[4] (молитвата) и даваат од тоа со што Ние[5] ги снабдуваме,","[3] Гајб (ар.) – невидливо, непоимливо. Се однесува на сето тоа за што нè извес­тиле Бог и Неговиот Пратеник Мухамед, Божјиот мир нека биде над него, а што е недос­тап­но за нашиот вид и во што без сомнеж веруваме дека е вистина. При­мер за тоа е верувањето во ангелите, демоните, во Судниот ден, задгробниот живот, рајот, пеко­лот итн.
[4] Намаз (перс.), салах (ар.) – дневна, редовна и облигативна молитва кај мусли­ма­ните. Се состои од рекати. Еден рекат е основен дел од молитвата и се состои од едно сто­е­ње – наречено кијам, едно поклонување наречено руку и две спуш­та­ња ничкум на­ре­чени сеџда. Во понатамошниот текст по секое спомнување на намазот, во загради ќе стои молитва за да се направи разлика помеѓу молитвата и која било друга молба упа­тена до Бог која кај муслиманите се нарекува дова (ар.).
[5] Ние – се однесува на Единиот Бог. Тоа е вообичаена особеност на арапскиот го­вор, користен за истакнување на важноста на говорникот, односно, се работи за еден вид самоперсирање кое во западната литература е познато кај личното обра­ќа­ње на кралевите и кралиците."
11,2,4,"4. и за тие што веруваат во тоа што ти е објавено тебе и во тоа што е објавено пред тебе, и коишто цврсто веруваат во оној свет[6].","[6] Оној свет или идниот свет е познат кај муслиманите како Ахирет (ар.), но поради по­едноставување на разбирањето на преводот на Куранот, во поната­мошниот текст ќе се употребува токму овој термин – „оној свет“."
12,2,5,"5. Тоа се тие што се упатени од Господарот свој и тоа се тие што се спасени.",""
13,2,6,"6. На тие што не веруваат навистина им е сеедно дали ти ќе ги опоменуваш или нема да ги опоменуваш, тие не веруваат!",""
14,2,7,"7. Аллах ги запечатил срцата нивни и ушите нивни, а пред очите нивни има перде, и ним им следува голема казна.",""
15,2,8,"8. Има луѓе коишто велат: „Веруваме во Аллах и во другиот свет“ – а не се верници.",""
16,2,9,"9. Тие мислат дека ги мамат Аллах и тие што веруваат, иако, не чувствувајќи го тоа, самите себеси се мамат.",""
17,2,10,"10. Во срцата нивни се наоѓа болест[7] и Аллах им ја зголемува болеста. Нив ги чека болно страдање поради тоа што лажеа!","[7] Болеста која е во нивните срца е сомнежот и неверувањето."
18,2,11,"11. И кога ќе им се каже: „Не правете безредие на Земјата!“, одговараат: „Ние само воспоставуваме ред!“",""
19,2,12,"12. Зарем така? Тие, навистина, се вистински интриганти! А за тоа не се ни свесни.",""
20,2,13,"13. Кога ќе им се каже: „Верувајте како што веруваат овие луѓе“, тие одговараат: „Зарем да веруваме како што веруваат малоумните[8]?“ А навистина тие самите се малоумни, а тоа не го ни знаат!","[8] Се мисли на асхабите (придружниците) на Пратеникот Мухамед, Божјиот мир нека биде над него."
21,2,14,"14. Кога ќе ги сретнат тие што веруваат, велат: „Веруваме!“, а штом останат насамо со своите шејтани (ѓаволи)[9], велат: „Ние сме со вас. Ние само се потсмеваме[10].“","[9] Се мисли на нивните поранешни истоверници од редовите на eвреите или идо­ло­поклониците.
[10] Со следбениците на Мухамед, Божјиот мир нека биде над него."
22,2,15,"15. Аллах на нив им се потсмева и ги остава да талкаат во својата осиленост.",""
23,2,16,"16. Тоа се тие кои ја зедоа заблудата во замена за Упатството! Но нивната трговија не им донесе добивка и тие не се упатени!",""
24,2,17,"17. Слични се на тие што ќе запалат оган и кога огнот ќе им ја осветли околината, Аллах ќе им ја одземе светлината и ќе ги остави во мрак, па ништо не гледаат.",""
25,2,18,"18. Глуви, неми и слепи се тие! И никако да се повратат (кон Вистинскиот пат)!",""
26,2,19,"19. Или сe слични на тие што за време на силниот порој од небото, каде што се темнините, татнежот и молњите поради громовите, ги ставаат прстите во уши плашејќи се од смртта! А Аллах ги опфаќа неверниците!",""
27,2,20,"20. Само што не ги заслепи молњата: кога и да им светне, тие ќе тргнат, а штом ќе останат во мрак, застануваат! А да сака Аллах би им ги одзел и слухот и видот! Аллах навистина може сè!",""
28,2,21,"21. О, луѓе, обожувајте Го Господарот ваш Кој ве создаде и вас и тие пред вас, за да бидете богобојазливи,",""
29,2,22,"22. Кој Земјата постела, а небото кров ви ги направи; Кој од небото ви го спушта дождот и со него создава плодови, снабдување за вас. Затоа не припишувајте Му здруженик на Аллах, знаејќи го тоа.",""
30,2,23,"23. А ако се сомневате во тоа што Сме му го објавиле на Својот роб, тогаш, донесете вие едно поглавје слично на тоа; повикајте ги и божествата ваши, ако вистината ја зборувате.",""
31,2,24,"24. Па, ако не го направите тоа, а нема да го направите, тогаш чувајте се од огнот кој е подготвен за неверниците, чиешто гориво луѓето и камењата ќе бидат!",""
32,2,25,"25. А израдувај ги тие што веруваат и што прават добри дела дека ним им припаѓаат џенетските[11] градини низ кои реки течат! Кога и да бидат снабдени од градините со некаков плод, велат: „Со ова и претходно бевме снабдени.“, а им беа давани само слични на нив! Во градините само чисти жени ќе имаат и во нив вечно ќе престојуваат!","[11] Џенет (ар.) – рај. Во понатамошниот текст ќе се употребува во својата изворна форма."
33,2,26,"26. Навистина Аллах не се срами за пример да ја наведе мушичката или нешто поситно од неа; тие што веруваат знаат дека тоа е Вистината од Господарот нивен; а тие што не веруваат велат: „Што сака Аллах со овој пример?“ Со ова Тој многумина заблудува, а многумина и упатува, а ги заблудува само грешниците!",""
34,2,27,"27. Тие што го прекршуваат заветот кон Аллах откако е даден, го прекинуваат тоа што Аллах го наредил да се одржува и прават неред на Земјата. Тие се губитници!",""
35,2,28,"28. Како можете во Аллах да не верувате вие, кои бевте мртви, а Тој ве оживеа, а потоа ќе ве усмрти, и потоа пак ќе ве оживее, а потоа Нему ќе Му бидете вратени?!",""
36,2,29,"29. Сè што е на Земјата Аллах го создаде за вас; потоа кон небото се насочи и како седум небеса го уреди. Тој знае сè!",""
37,2,30,"30. И кога Господарот твој им рече на мелеците[12] (ангелите): „Јас на Земјата ќе поставам намесник!“, тие запрашаа: „Зарем на Земјата ќе го поставиш тој што на неа неред ќе шири и крв ќе пролева?! А ние Те величаме, заблагодарувајќи Ти, и Те почитуваме како што Тебе Ти доликува!“ Тој одговори: „Јас го знам тоа што вие не го знаете!“","[12] Мелек (ар.) – ангел, суштество создадено од светлина, тотално покорно и пот­чи­не­то на својот Создател, без слободна волја и без одговорност на Судниот ден, за раз­лика од луѓето и џините (демоните) кои ќе одговараат за своите дела кои ги направиле врз основа на слободната волја и сопствениот избор. Во пона­та­мош­ни­от текст ќе се употребува во својата изворна форма."
38,2,31,"31. И Тој го подучи Адем[13] со сите имиња, а потоа ги изнесе пред мелеците и рече: „Кажете Ми ги имињата нивни, ако ја кажувате вистината!“","[13] Адем – Адам. Првиот човек на Земјата. Во понатамошниот текст ќе се употребува името во изворната форма од Куранот."
39,2,32,"32. „Славен биди!“, рекоа тие, „Ние го знаеме само тоа за што Ти нè подучи! Само Ти си Зналецот и Мудриот!”",""
40,2,33,"33. „О, Адеме,“, рече Тој, „кажи им ги имињата нивни!“ И кога тој им ги кажа нивните имиња, Аллах рече: „Зарем не ви кажав дека само Јас ги знам тајните на небесата и на Земјата и дека само Јас го знам тоа што вие го покажувате и тоа што го криете?“",""
41,2,34,"34. И кога им кажавме на мелеците: „Поклонете му се на Адем со сеџда[14]!“, тие сите се поклонија освен Иблис[15], кој одби, се вообрази и стана неверник.“","[14] Сеџда (ар.) – спуштање ничкум, положба на длабоко поклонение кога човекот со своите чело, нос, дланки, колена и стапала го допира тлото. Сеџдата прет­ста­вува чин на обожување и составен дел од намазот. Во контекстот на ова кажу­вање за соз­да­ва­ње­то на првиот човек, ова поклонение е знак на тотална покор­ност, преданост, вели­че­ње, славење и обожување кон Бог и почитување на чове­кот како суштество и соз­да­ние кое е на повисоко ниво од ангелите (не поради сво­јата безгрешност, туку поради својството на слободна волја и одговорност на Судниот ден).
[15] Иблис (ар.) – Луцифер, сатаната. Според Куранот, тој не бил ангел, туку демон (џин) кој поради својата побожност бил во друштво со ангелите. Со неговата побуна против наредбата и волјата Божја, станува предводник на останатите демони невер­ни­ци, односно ѓаволи (шејтани)."
42,2,35,"35. И Ние рековме: „О, Адеме, ти и твојата жена живејте во Џенетот и јадете од него од каде што сакате, но не приближувајте се до ова стебло, па со тоа неправда да си сторите!“",""
43,2,36,"36. Но, шејтанот ги намами да сторат грев и ги изведе од местото каде што живееја!“ – „Слезете!“ – им рековме Ние. „Едни на други ќе бидете непријатели до одреденото време! Земјата ќе биде ваше живеалиште и уживање некое време!“",""
44,2,37,"37. И Адем прими некои зборови од Господарот свој, па Тој му прости; Тој навистина простува и Милостив е!",""
45,2,38,"38. И Ние рековме: „Слезете од него сите! Од Мене ќе ви доаѓа Упатството; и тие што ќе го следат Упатството Мое, ниту ќе стравуваат, ниту ќе тагуваат!”",""
46,2,39,"39. А тие што нема да веруваат и кои ајетите Наши ќе ги негираат, жители на Огнот ќе станат и во него вечно ќе останат.",""
47,2,40,"40. О, синови Израилови, сетете се на благодатите Мои кои ви ги подарив, и исполнете го заветот што Ми го дадовте, па и Јас ќе го исполнам заветот што ви го дадов! И плашете се само од Мене!",""
48,2,41,"41. Верувајте во тоа што го објавив потврдувајќи го тоа што вие го имате и не бидете првите кои не веруваат во тоа! Не продавајте ги Моите зборови за ниска цена и плашете се само од Мене!",""
49,2,42,"42. И не мешајте ја вистината со невистината криејќи ја вистината, иако знаете!",""
50,2,43,"43. И намаз (молитва) извршувајте и зекат[16] давајте; и со тие кои го извршуваат намазот и вие извршувајте го!","[16] Зекат (ар.) – Определен, фиксиран дел од 2,5% од богатството и од секаков имот обврзан со зекат на еден муслиман кој се дава за сиромашните во муслиманската за­ед­ница. Плаќањето зекат е задолжително, бидејќи тој е еден од столбовите на исла­мот. Зекатот е главно економско средство за воспоставување социјална правда и го во­ди мус­ли­ман­ското општество кон напредок и сигурност. Бидејќи нема соод­ве­тен збор за буквален превод во македонскиот јазик, овој израз ќе се употребува и во пона­тамошниот текст."
51,2,44,"44. Зарем од другите барате да прават добри дела, а при тоа себеси се заборавате, а вие Книгата ја читате?! Зар нема да се опаметите?",""
