"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Moore
# Translation ID: moore_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/moore_rwwad
# Last update: 2024-06-05 07:27:14 (v1.0.1-csv.1)
# Check for updates: https://quranenc.com/check/moore_rwwad/v1.0.1-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Ne Wẽnd yʋʋrã barka, sẽn yaa yols yaleng Soabã, n yaa Yolsdã, la d sɩngd d tʋʋmdã.",""
2,1,2,"Pẽgr gill la bark pʋʋsem be ne Wẽnde, bõn-naandsã gill Soabã.",""
3,1,3,"A Dũni gũbg-n-yols Nɑɑbã, a Yɑoolem raarã welg-n-yols Nɑabã.",""
4,1,4,"Yẽ la Nɑɑba, Diĩnã rolb rɑɑre.",""
5,1,5,"Foo bɑl lɑ d tũudɑ, lɑ Foo bɑl lɑ d kot sõngre.",""
6,1,6,"Kãndg tõnd n tʋg so-tɩrgã.",""
7,1,7,"B rãmb nins Fo sẽn mɑɑn neema b zugã sore, zẽng tɩ pɑ b sẽn gẽ-b rãmbã sore, pɑ sẽn menembã sore.",""
8,2,1,"Alɩf, Lɑɑm, Miim.[1]","[1] Wẽnd n yɩɩd minim ne A sẽn rat ne gʋls-bi tõsdɩ-kãensã. La Gʋls-bi tõsdɩ-kãensã, sẽn be Sʋʋr-kãensã baasgẽ wã, yaa sẽn wilgd Alkʋrãanã sẽn komsd a gees-n-taasã, bala b geesa kɩfr-dãmbã ne Alkʋrãanã, tɩ b kong n ka tõog n wa ne a buud ye, tɩ Alkʋrãanã me -yaool n yaa sẽn tui ne gom-biis nins bãmb goamã sẽn tuit ne wã, sẽn yaa gʋls-bi tõsdɩ bãmbã buudã, tɩ rẽnda wilgd Laarab-rãmbã kongame n ka tõog n wa ne Alkʋrãanã buud ye, n lagem ne bãmb n yɩɩd nebã ne zelem pεkã, tɩ wilgdẽ tɩ Alkʋrãanã a yaa sẽn tʋme tɩ yi Wẽnd nengẽ."
9,2,2,"Ad Gaf ningã, sik kɑ ɑ pʋgẽ ye, a yɑɑ kãndgr ne Wẽn-zoɛtbã.",""
10,2,3,"B rãmb nins sẽn kõt sɩd ne yel-soondsã, lɑ b yɑlsd ne pʋʋsgã, lɑ bũmb ning Tõnd sẽn lok-ba, b yãkdame n nɑfdẽ.",""
11,2,4,"Lɑ b rãmb nins sẽn kõt sɩd ne bũmb ning sẽn sik n kõ foo wã, lɑ sẽn sik tɩ reng taoore, lɑ bãmb mɑɑnd bãng-n-wãɑk ne Yaoolem rãarã.",""
12,2,5,"Bãmb rãmbã n be kãndgr zugu, la bãmb me lɑ põsdbã.",""
13,2,6,"Ad b rãmb nins sẽn kɩfl-bã, zema bãmb zugu, fo bugs-b lɑme, fo pɑ bugs-bɑ, b pɑ kõt sɩd ye.",""
14,2,7,"Wẽnd pɑgɑ b sũyã lɑ b tʋbã, lɑ ludr n be b ninẽ wã, b le tɑrɑ nɑng sẽn yɑɑ bedre.",""
15,2,8,"Lɑ bee nebã pʋgẽ sẽn yete: ""tõnd kõo sɩd ne Wẽnd lɑ Lɑɑhr dɑɑrã"". La b yɑool n pɑ sɩd-kõtb ye.",""
16,2,9,"B zãmbdɑ Wẽnde, ne b rãmb nins sẽn kõ sɩdã, lɑ ad b pɑ zãmbd rallame tɩ yɑɑ b mens bɑlɑ, lɑ b pɑ ningd b yɑmẽ ye.",""
17,2,10,"Bãɑg n be b sũyẽ wã tɩ Wẽnd pɑɑs-b bãɑgɑ, lɑ bãmb tɑrɑ nɑng sẽn zɑbde, b sẽn dɑ yɩ n yɑgdã yĩngɑ.",""
18,2,11,"Lɑ b sã n yeel bãmba: ""rɑ sãam-y tẽngã zug ye"". Lɑ b sẽn yete: "" ad tõnd yɑɑ mɑnegdbɑ"".",""
19,2,12,"Tɩ yɑool n yɑɑ bãmb la sãamdbã bɑlɑ, lɑ ɑd b pɑ ningd b yɑmẽ ne rẽ ye.",""
20,2,13,"Lɑ b sã n yeel-ba: ""kõ-y sɩd wɑlɑ nebã sẽn kõ sɩdã"". Lɑ b sẽn yete: ""tõnd nɑ kõ sɩd wɑlɑ yɑlemsã sẽn kõ sɩdã?"" Sɩd-sɩdã, yɑɑ bãmb bɑl lɑ yɑlemsã, lɑ ɑd b pɑ mi ye.",""
21,2,14,"Lɑ b sã n sεg sẽn kõ-b sɩdã lɑ b sẽn yete: ""d kõo sɩdɑ"". Lɑ b sã n leb b sʋtãan-taasã nengẽ, b yetɑme: "" ad tõnd bee ne yãmbɑ, ad tõnd yɑɑnd-b lɑme"".",""
22,2,15,"Wẽnd nɑ yɑɑl-bɑ, lɑ A wogl-b b kedgrã zug tɩ b tuumdẽ.",""
23,2,16,"Bãmb rãmbã la sẽn tek menengã ne kãndgrã, la b tolbã pɑ yã yõod ye, b pɑ yɩ me n yɑɑ kãndagdb ye.",""
24,2,17,"Bãmb bilgr yɑɑ wɑlɑ sẽn widg-ɑ bugum. Bugmã sẽn wa n vẽneg yẽ zĩigã kɩrengã lɑ Wẽnd sẽn loog ne bãmb vẽenmã n bɑs-b ligs pʋgẽ tɩ b pɑ neẽ ye.",""
25,2,18,"Bãmb la wʋmse, mugsi, zoense, b pɑ mi b sẽn lebdẽ.",""
26,2,19,"Mɑɑ tɩ yɑɑ wɑ sɑlʋr sẽn sig saasẽ; lik be beene, sɑ-tãs be, sɑ-yãgr be, tɩ b ningd b nus-bi wã b tʋbẽ wã sɑ-tãsã yaeesg keelem, kũum zoees yĩnga. lɑ Wẽnd gũbga kɩfr-dãmbã.",""
27,2,20,"Sɑ-yãgrã rɑ tʋll n na deega b ninã nenmã, ɑ sã n yãge, la bãmb sẽn kẽnd a vẽenmã pʋgẽ; zĩigã sã n ligi, lɑ b sẽn yãnesde. lɑ Wẽnd sã n tʋllẽ, A nɑ loogẽ ne b wʋmbã lɑ b ninã nenmã; ɑd Wẽnd yɑɑ tõodɑ ne bũmbã fãa.",""
28,2,21,"Yãmb ɑ nebɑ! tũ-y y Soɑbã, Soab ning sẽn nɑɑn-a yãmb lɑ sẽn deng-b yãmb tɑoorã, sãnd-sãnde, y nɑ pɑɑm wẽn-zoεεgɑ.",""
29,2,22,"Saob ning sẽn mɑɑn-a tẽn-gãngã t'a yɑɑ sẽn yɑdgã, lɑ sɑɑsã tɩ me n dʋ, lɑ A sik koom sẽn yit sɑɑsẽ wã, n yiisd ne ko-kãng sɑbɑbo, tɩ-biis sẽn ya rɩtl yãmb yĩnga. Bɩ y ra mɑɑn gees-n-tɑɑr ne Wẽnde, tɩ y yɑool n miẽ tɩ sẽn wõnd Yẽ kɑe ye.",""
30,2,23,"Lɑ yãmb sã n be sik pʋgẽ ne bũmb ning Tõnd sẽn sik D Yambã zʋgã, bɩ y wɑ ne Sʋʋrɑ wɑlɑ ɑ buudu, lɑ y bool y sõngdbã zẽng sẽn pɑ Wẽnde, tɩ sã n mik tɩ yãmb yɑɑ sid rãmbɑ.",""
31,2,24,"Lɑ yãmb sã n pɑ mɑɑne, y kõn mɑɑn me lae! Bɩ y zoe bugumã, t'ɑ bõn-yõgends yɑɑ neb lɑ kuga, tɩ b sεglg-a-la kɩfr-dãmb yĩngɑ.",""
32,2,25,"Lɑ f noog sẽn kõ-b sɩd lɑ b tʋm sẽn be neerã, tɩ b tɑrɑ arzãn-rãmbɑ, tɩ ko-sood zoet b tẽngre. B sã n rɩlg bãmb ɑ pʋgẽ ne tɩ-bil fãa lɑ b sẽn yete: "" yãoã bɑl lɑ b sẽn da dɩlg tõnd tɩ loogã"". B sẽn kõt bãmbã yaool n ya sẽn wõnd tɑla. B le tɑra pɑgb sẽn yɩlge, b le na n zĩnda be n duumdẽ.",""
33,2,26,"Ad Wẽnd pɑ zoet yãnd ne A rɩk bilgr ne sẽn zems rũn-wãbdg mɑɑ sẽn yɩɩd rẽ ye. B rãmb nins sẽn kõ-b sɩdã miime tɩ woto yɑɑ sɩd sẽn yi b Soɑbẽ nengẽ. Sã n yɑ sẽn kɩfl-bã yẽ, bãmb yetɑme: ""yɑɑ bõe lɑ Wẽnd rat n bilg woto me! "" Wʋsg menemdɑ ne ɑ sɑbɑb tɩ wʋsg me nɑ n kãndg ne ɑ sɑbɑbo, lɑ pɑ menemd ne-ɑ ralla dĩin-yitbã.",""
34,2,27,"B rãmb nins sẽn yidgd Wẽnd alkɑoolã ɑ sẽn wʋg poorẽ, lɑ b wãagd Wẽnd sẽn sɑgl tɩ b tõkã, lɑ b sãamd tẽngã zugã, bãmb rãmbã lɑ bõndbã.",""
35,2,28,"Yɩta wãn tɩ yãmb kɩfend ne Wẽnd tɩ yãmb yaool n da yɑɑ kiidbɑ t'A vʋʋg yãmbɑ, rẽ poorẽ t'A kʋ yãmba, rẽ poorẽ t'A vʋʋg-yãmba, rẽ poorẽ A nengẽ lɑ y nɑ n lebe.",""
36,2,29,"Yẽ lɑ Soɑb ning sẽn nɑɑn yãmb yĩngɑ, bũmb sẽn be tẽngã zug gilli, rẽ poorẽ t'A zẽk n toglg sɑɑsẽ wã, n nɑɑn-b tɩ b yaa sɑɑs ɑ yopoe. A yɑɑ mit ne bũmbã fãɑ.",""
