"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Dutch
# Translation ID: dutch_center
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/dutch_center
# Last update: 2025-11-19 16:43:23 (v2.0.10-csv.1)
# Check for updates: https://quranenc.com/check/dutch_center/v2.0.10-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"In de naam van Allah, de meest Barmhartige, de meest Genadevolle.",""
2,1,2,"Alle lof en dank komt (alléén) Allah toe, de Bezitter van (alle) wereldwezens[1].","[1] zowel de mensen, als de djinn, als de engelen, alsook de rest van Zijn volledige schepping."
3,1,3,"De meest Barmhartige [1], de meest Genadevolle [2].","[1]voor elk wezen.
[2] specifiek voor de gelovigen."
4,1,4,"De enige Eigenaar (van het tijdstip) van de Dag der Opstanding.",""
5,1,5,"U (alléén) aanbidden wij, en U (alléén) vragen wij (voor alles en tegen iedereen) om hulp.",""
6,1,6,"Leid ons naar het rechte pad.",""
7,1,7,"Het pad van degenen die Uw gunsten hebben verworven [1] en niet (naar het pad) van degenen die Uw woede hebben opgewekt [2], noch (naar het pad) van de dwalenden [3].","[1]verwijzend naar degene die kennis vergaren van de Islam en daarna handelen, een plicht die veel moslims vergeten.
[2]verwijzend naar kennis zonder ernaar te handelen en het misbruiken voor eigen belang mogen Allah sht ons hiervoor beschermen.
[3]verwijzend naar mensen die Allah aanbidden zonder kennis."
8,2,1,"Alief, Lam, Miem.[1]","[1] Deze afgebroken letters aan het begin van deze soera wijzen op het wonder van de Koran; de polytheïsten werden ermee uitgedaagd, maar slaagden er niet in om ertegenin te gaan. De Koran is samengesteld uit deze letters, die de Arabische taal vormen. Het onvermogen van de Arabieren om het equivalent ervan te produceren, ondanks dat ze de meest welbespraakte mensen zijn, duidt erop dat de Koran een openbaring van Allah is."
9,2,2,"Dit is het Boek, waarover geen twijfel bestaat, een leidraad voor degenen die godvrezend zijn.",""
10,2,3,"Die in het onzichtbare geloven en de gebeden volmaakt verrichten en datgene, waar Wij hen van voorzien hebben besteden [1].","[1]en dit voor henzelf, hun ouders, hun kinderen, hun echtgenoten ect besteden en ook aalmoezen aan de armen geven en geld besteden op Allah Zijn Weg."
11,2,4,"En die geloven in datgene dat aan jou is neergezonden. En wat vóór jou is neergezonden. En zij geloven met zekerheid in het hiernamaals.",""
12,2,5,"Zij hebben de leiding van hun Heer en zullen daarom succes hebben.",""
13,2,6,"Waarlijk, voor degenen die ongelovig zijn maakt het niet uit of jij ze al dan niet waarschuwt: ze zullen toch niet geloven.",""
14,2,7,"Allah heeft een zegel op hun harten en op hun gehoor geplaatst en over hun gehoor en over hun ogen is er een bedekking. Hun zal een grote bestraffing ten deel vallen.",""
15,2,8,"En in de mensheid zijn een aantal die zeggen: “Wij geloven in Allah en de laatste dag” terwijl zij daar eigenlijk niet in geloven.",""
16,2,9,"Zij (denken) dat zij Allah en degenen die geloven bedriegen, terwijl zij slechts zichzelf bedriegen en zij beseffen (het) niet.",""
17,2,10,"In hun harten is een ziekte en Allah heeft de ziekte doen toenemen. En er is voor hen een pijnlijke bestraffing, vanwege wat zij plachten te loochenen.",""
18,2,11,"En wanneer er tegen hen gezegd werd: ""Zaai geen verderf op aarde"", dan zeggen zij: ""Wij zijn slechts vredestichters.""",""
19,2,12,"Waarlijk! Zij zijn degenen die verderf zaaien maar zij beseffen het niet.",""
20,2,13,"En wanneer tot hen gezegd wordt: “Geloof zoals de mens geloofd heeft,” zeggen zij: “Moeten wij geloven zoals die dwazen geloofd hebben?” Waarlijk, zij zijn de dwazen, maar zij weten het niet.",""
21,2,14,"En als ze gelovigen tegenkomen, zeggen zij: “Wij geloven,” maar als zij alleen zijn met hun duivels zeggen zij: “Waarlijk wij behoren bij jullie, waarlijk, wij spotten slechts.”",""
22,2,15,"Allah spot met hen en laat hun in hun overtredingen(vermeerderd) blind rondlopen.",""
23,2,16,"Zij zijn degenen die het kwaad voor leiding hebben gekocht: hun handel is dus zonder winst. En zij zijn niet geleid.",""
24,2,17,"Zij lijken op degenen die een vuur aansteken; als het dan rond om hen heen licht is, neemt Allah hun licht weg en laat hen in het donker achter. Zij kunnen (dus) niet zien [1].","[1]door hun zieke harten en slechte daden, daarom is het zo belangrijk om te werken aan je hart doormiddel kennis te vergaren en dat te gebruiken om het hart te reinigen."
25,2,18,"Zij zijn doof, stom en blind en keren dus niet terug [1].","[1]door hun slechte handelingen zonder terug te keren naar Allah in berouw."
26,2,19,"Of als de regenbui uit de hemel waarin duisternis, donder en bliksem is. Zij stoppen hun vingers in hun oren om de donderslag niet te horen, omdat zij bang voor de dood zijn. Maar Allah omsluit altijd de ongelovigen.",""
27,2,20,"De bliksem verblindt hen haast, als het voor hen flitst dan lopen zij erin en als het donker is, staan ze stil. En als Allah het gewild had, had Hij hun gehoor en gezicht weg kunnen nemen. Allah heeft beslist macht over alle zaken.",""
28,2,21,"O Mensheid! Aanbid jullie Heer Die jullie geschapen heeft en degenen vóór jullie, zodat jullie godvrezend worden.",""
29,2,22,"Die de aarde als rustplaats voor jullie gemaakt heeft, en de hemel als een dak en regen van de hemel naar beneden stuurt en fruit voor jullie als levensonderhoud heeft voortgebracht. Neem geen deelgenoten aan bij Allah terwijl jullie weten.",""
30,2,23,"En als jullie twijfelen over hetgeen Wij naar beneden gezonden hebben aan Onze slaaf, maak dan een soerah van gelijk niveau en roep je getuigen op naast Allah, als jullie waarachtig zijn.",""
31,2,24,"Maar als jullie dat niet doen, en jullie kunnen dat nooit doen, vrees dan het vuur dat door een brandstof gevoed wordt die uit mensen en stenen bestaat, voorbereid voor de ongelovigen.",""
32,2,25,"En breng degenen die geloven (en hierin standvastig blijven) blijde tijding en goede daden verrichten, dat zij in de tuinen zullen zijn waar rivieren onderdoor stromen. Elke keer als zij daarvan fruit ontvangen zullen zij zeggen: “Dit is wat wij al eerder hebben gekregen [1],” en zij zullen zaken krijgen die overeen lijken te komen en zij zullen daar reine echtgenotes hebben en zij zullen daar voor altijd verblijven.","[1]in het paradijs zijn er ook wereldse namen zoals; fruit, honing, druiven ect. Echter is dit niet vergelijkbaar met het fruit of honing van het wereldse."
33,2,26,"Waarlijk, Allah schaamt zich niet om een parabel over zelfs maar een mug te beschrijven of iets anders als het kleiner is. En voor degenen die geloven is dit de waarheid van hun Heer, maar de ongelovigen zeggen: “Wat bedoelde Allah met deze parabel?” Door de parabel misleidt Hij er velen, en velen leidt Hij erdoor. En Hij misleidt slechts degenen die niet aan Allah Zijn gehoorzaamheid beantwoorden.",""
34,2,27,"Degenen die het Verbond met Allah verbreken nadat zij het zijn aangegaan en losbreken wat Allah bevolen heeft te verbinden en misdaden plegen op aarde, zij zijn het die de verliezers zijn.",""
35,2,28,"Hoe kun je niet in Allah geloven! Jullie zagen toch dat jullie dood waren en Hij jullie het leven heeft gegeven. Toen gaf Hij jullie de dood en opnieuw bracht Hij jullie tot leven en tot Hem zullen jullie terugkeren.",""
36,2,29,"Hij is Degene die alles, wat zich op aarde bevindt, voor jullie heeft geschapen. Daarna verhief Hij zich (op de manier die bij hem past) naar de Hemel en vormde deze tot zeven Hemelen. En Hij is op de hoogte van alles.",""
37,2,30,"En (gedenk) toen jullie Heer tegen de engelen zei: “Ik zal de mens generatie na generatie op aarde plaatsen.” Zij zeiden: “Zult U daar iemand plaatsen die misdaden pleegt en bloed laat vloeien – terwijl wij U verheerlijken, U prijzen en danken en U heilig maken.” Hij (Allah) zei: “Ik weet wat jullie niet weten.”",""
38,2,31,"En Hij onderwees Adam de namen en toen liet Hij hem de engelen zien en zei: “Vertel Mij hiervan de namen, als jullie waarachtig zijn.”",""
39,2,32,"Zij (de engelen) zeiden: “Verheerlijkt bent U, wij hebben geen kennis behalve van wat U ons onderwezen heeft. U bent de Alwetende, de Alwijze.",""
40,2,33,"Hij zei: “O Adam, vertel hun de namen.” En toen hij hun de namen had verteld, zei Hij: “Heb Ik je niet verteld dat Ik het onzichtbare in de hemelen en op de aarde ken en Ik weet wat jullie openlijk doen en wat jullie in het verborgen doen.",""
41,2,34,"En toen Wij tot de engelen zeiden: “Buig (jullie hoofden) voor Adam!” Daarop bogen zij allen (het hoofd), behalve Iblies. Hij weigerde hoogmoedig (daar hij zich beter vond dan Adam) en werd zo één van de (ongehoorzame) ongelovigen.",""
42,2,35,"En Wij zeiden: “O Adam! Woon tezamen met jouw vrouw in het paradijs en eet beiden vrijelijk met plezier en genot van de zaken daarvan, zoveel als je maar wilt, maar kom niet bij deze boom of jullie beiden zullen tot de zondaren behoren.”",""
43,2,36,"Toen liet Shaytaan hen daaruit (het paradijs) glijden en verwijderde hen van waar zij waren. Wij zeiden: “Ga naar beneden, allemaal, met vijandigheid tussen jullie. Op de aarde zal een woonplaats voor jullie zijn en voor een zekere tijd vermaak.”",""
44,2,37,"Daarop ontving Adam van zijn Heer (nieuwe) woorden (woorden van eerlijke berouw), waarop zijn Heer hem vergaf (door zijn berouw te aanvaarden). Waarlijk, Hij is Degene Die vergeeft, de Genadevolle.",""
45,2,38,"Wij zeiden: “Gaan jullie allemaal van deze plaats naar beneden, en als er van Mij leiding tot jullie komt en iedereen die Mijn leiding volgt, zij zullen niet vrezen, noch zullen zij bedroefd zijn.",""
46,2,39,"Maar degenen die niet geloven en onze tekenen loochenen, dat zijn de bewoners van het vuur, zij zullen daarin voor altijd verblijven.",""
47,2,40,"O Kinderen van Israël! Gedenk Mijn gunst die Ik jullie gegeven heb, en vervul jullie verplichtingen voor Mijn verbond zodat Ik (Mijn verplichtingen) van jullie verbond (met jullie vervul) en vrees geen ander dan Mij.",""
48,2,41,"En geloof in wat Ik naar beneden heb gezonden dat wat met jullie is bevestigd en wees niet de eersten die dat niet geloven en verkoop niet Mijn verzen voor een klein bedrag en vrees Mij en alleen Mij.",""
49,2,42,"En vermeng de waarheid niet met de leugen, en verberg de waarheid ook niet terwijl jullie (de waarheid) kennen.",""
50,2,43,"En verricht de gebeden correct en geef zakaat en buig met degenen die buigen.",""
51,2,44,"Jullie gebieden vroomheid en rechtvaardigheid en dat alle daden voor de gehoorzaamheid van Allah zijn van de mensen maar jullie vergeten het zelf, terwijl jullie de Geschriften reciteren. Hebben jullie dan geen verstand?",""
52,2,45,"En vraag hulp middels (het vermogen om) geduld (op te brengen in en om) het gebed (door de lusten en verlangens van de ego te bedwingen). En voorzeker, dit (gebed) is bijzonder zwaar en moeilijk behalve voor de khaashi’ien (degene die vrees hebben voor Allah gebaseerd op kennis, vandaar dat ze hun gebeden op tijd verrichten waar ze ook zijn)",""
53,2,46,"(Zij zijn degenen) die er zeker van zijn dat zij hun Heer zullen ontmoeten en dat zij tot Hem zullen terugkeren.",""
54,2,47,"O Kinderen van Israël! Gedenk Mijn gunst die Ik jullie heb geschonken en dat Ik aan jullie de voorkeur gaf van de wereldwezens.",""
55,2,48,"En vrees de dag (van het oordeel) wanneer niemand een ander kan helpen, noch zal inmenging geaccepteerd worden van hem, noch zal er een vergoeding van hem genomen worden, noch zal hij hulp krijgen.",""
56,2,49,"En (weet dan nog) dat Wij jullie van de mensen van de Farao, die jullie vreselijke martelingen oplegden, jullie zonen vermoordden en jullie vrouwen spaarden, verlosten, en daarin was een machtig vonnis van jullie Heer.",""
57,2,50,"En (herinner je) dat Wij de zee voor jullie splitsten en jullie redden en de mensen van de Farao lieten verdrinken, terwijl jullie toekeken.",""
58,2,51,"En (herinner je) dat Wij voor Moesa veertig nachten hadden aangewezen en dat jullie een kalf namen en jullie onrechtplegers werden.",""
59,2,52,"Daarna vergaven Wij jullie zodat jullie dankbaar zouden zijn.",""
60,2,53,"En (herinner je) dat Wij Moesa de geschriften gaven en het onderscheid (tussen goed en kwaad) zodat jullie rechtgeleid zijn.",""
61,2,54,"En (herinner je) wanneer Moesa tegen zijn mensen zei: “O mijn mensen! Waarlijk jullie hebben jezelf onrecht aangedaan door het kalf te aanbidden. Keren jullie je dus in berouw tot jullie Schepper en dood elkaar in het zicht van jullie Schepper dan is dat beter voor jullie.” Toen accepteerde Hij jullie berouw, waarlijk, Hij is Degene Die het berouw accepteert, de Genadevolle.",""
62,2,55,"En (herinner je) wanneer jullie zeiden: “O Moesa! Wij zullen je nooit geloven totdat wij Allah duidelijk zien.” Maar jullie werden door de bliksem gegrepen toen jullie keken.",""
63,2,56,"En vervolgens deden wij jullie na jullie dood opstaan, opdat jullie dankbaar zouden zijn.",""
64,2,57,"En Wij zorgden ervoor dat de wolken schaduw voor je wierpen en de Manna (zoet water) en de Salwa (vlees van duiven) naar beneden stuurden (zeggende): “Eet van de goede en wettige zaken, waarin Wij jullie hebben voorzien.” En zij hebben Ons geen onrecht aangedaan, maar hebben zichzelf onrecht aangedaan.",""
65,2,58,"(En herinner je) toen Wij zeiden: “Ga deze stad binnen en eet daar met plezier en genot zoveel als jullie willen en ga de poort in en kniel neer en zeg: “Vergeef ons” en Wij zullen jullie jullie zonden vergeven en zullen de (beloning) voor de weldoeners doen toenemen.”",""
