"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Oromo
# Translation ID: oromo_ababor
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/oromo_ababor
# Last update: 2025-07-13 10:13:07 (v1.0.3-csv.1)
# Check for updates: https://quranenc.com/check/oromo_ababor/v1.0.3-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Maqaa Rabbii Akkaan Mararfataa Akkaan Rahmata Godhaa Taheetiin.[1]","[1] suuraan faatihaa tuni irra caaltuu suuraalee qur'aanaati. Nabiyyiin S.A.W. Abii sa'iidiin akkana jedhe ""irra caaltuu suuraalee qur'aanaa sibeeysisa, isiin -Alhamdu lillaahi Rabbil aalamiin- jedheen. isiin torban deddeebituu taate, qur'aana guddaa ani isa kennames"" jedheen. {bukhaariitu odeesse}."
2,1,2,"Faaruun hundi tan Rabbii Gooftaa aalamaati.",""
3,1,3,"Akkaan mararfataa akkaan rahmata godhaa.",""
4,1,4,"Abbaa (mootii) guyyaa murtii.",""
5,1,5,"Si qofa gabbarra; Si qofatti gargaarsifannas.",""
6,1,6,"Daandii sirraawaatti nu qajeelchi.",""
7,1,7,"Karaa warra isaan irratti tola ooltee; kan warra irratti dallanamee kanhintahin, kan jallattootaa (kan hintahin) (nu qajeelchi) [1] [2]","[2] suuraan faatihaa tuni irra caaltuu suuraalee qur'aanaati. Nabiyyiin S.A.W. Abii sa'iidiin akkana jedhe ""irra caaltuu suuraalee qur'aanaa sibeeysisa, isiin -Alhamdu lillaahi Rabbil aalamiin- jedheen. isiin torban deddeebituu taate, qur'aana guddaa ani isa kennames"" jedheen. {bukhaariitu odeesse}.
[1] Aamiin jechuun salaata keessatti barbaachisaadha. bakka tanatti yogguu faatihaa fixan. namni duubaan salaatulleen sagalee olfuudhee bakka takaa jedha. garuu jechi Aamiin jedhu kuni faatiharraayii miti, inumaa qur'aanarraayii miti."
