"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Pashto
# Translation ID: pashto_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/pashto_rwwad
# Last update: 2024-02-15 15:16:21 (v1.0.1-csv.1)
# Check for updates: https://quranenc.com/check/pashto_rwwad/v1.0.1-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"د الله -تعالی- په نامه چې ډېر مهربان او رحم کوونکی دی.",""
2,1,2,"ټولې ستاینې (صفتونه) خاص الله لره دي، چې د عالمیانو پالونکی دی.",""
3,1,3,"ډېر مهربان اوتل (همېشه) مهربان",""
4,1,4,"څښتن (مالک) د ورځې د جزا دی.",""
5,1,5,"خاص (یوازې) ستا عبادت کوو، او خاص له تا څخه مرسته (مدد) غواړو.",""
6,1,6,"وښایه موږ ته سمه (نېغه) لاره",""
7,1,7,"د هغو كسانو لاره چې تا پر هغوی پېرزوېنه كړېده، نه د هغو كسانو لاره چې غضب ورباندې شوى او نه د هغو كسانو لاره چې لار وركي (ګمراهان) دي.",""
8,2,1,"الم [1]","[1] د سورت په پيل کې دغو مقطعاتو تورو کې د قرآن کريم اعجاز ته اشاره ده؛ ځکه چې په دې مشرکانو ته چلينج ورکړل شوی نو له مقابلې يې ناتوانه شول، په داسې حال کې چې دا قرآن له هماغو تورو جوړ شوی له کومو چې د عربو ژبه جوړه ده.
نو د قرآن په څېر د بل کلام راوړلو څخه د عربو ناتواني - سره له دې چې د نړۍ فصيح خلک وو- په دې دلالت کوي چي دا قرآن د الله له لوري وحي شوی دی."
9,2,2,"دا کتاب (دی) هیڅ شک په دې (کتاب) کې نه شته (چي د الله تعالی له لوری نازل شوی دی)، (دغه کتاب) لارښوونکی دی د پرهیزګارانو لپاره.",""
10,2,3,"هغه کسان چې پر غیبو ایمان (باور) لري او لمونځ کوي (سم یې ادا کوي سره له ټولو حقوقو) او له هغو شیانو چې موږ دوی ته ورکړي دي (د الله تعالی د رضا لپاره یې) مصرفوي.",""
11,2,4,"او هغه کسان چې ایمان لري (دوی) پر هغه (کتاب) چې نازل کړی شوی دی تاته او (پر) هغو (کتابونو) چې له تا وړاندې نازل شوي دي، په آخرت باور (یقین) کوي.",""
12,2,5,"دغه (ستایلي شوي کسان) د خپل رب له لوري پر سمه لاره دي او هم دوی پوره بریالي دي.",""
13,2,6,"بې له شکه هغه (خاص) کسان چې کافران شوي دي، هغوی ته یوشان ده که هغوی ته (ای پیغمبره) ووېروې او که یې ونه وېروې، هغوی ایمان نه راوړي.",""
14,2,7,"الله مهر لګولې دی د دوی پر زړونو او غوږونو او د دوی پر سترګو (یوه ځانګړې) پرده ده او دوی لره ډېر لوی عذاب دی.",""
15,2,8,"او یوه ډله له خلکو هغه ده چې وایي موږ په الله او وروستۍ (قیامت) ورځ ایمان راوړی، په داسې حال کې چې دوی مؤمنان نه دي.",""
16,2,9,"دوی (په خپل ګمان) له الله او له هغو کسانو سره چې ایمان يې راوړی دی ټګي کوي، په داسې حال کې چې نه کوي ټګي دوی مګر له خپلو ځانونو سره، او دوی شعور نه لري. (نه پوهیږي چې ضرر يې هم دوی ته رسېږي).",""
17,2,10,"د دوی په زړونو کې ناروغي (د شک او نفاق مرض) دی، نو الله د دوی ناروغي زیاته کړه او (مقرر) دی دوی لپاره ډېر دردناک عذاب په سبب د دې چې دوی به دروغ ویل (په اظهار د ایمان سره).",""
18,2,11,"او کله چې دوی (منافقانو) ته وویل شي چې په زمکه کې فساد مکوئ، نو دوی وايي، بې شکه خبره داده چې موږ خو اصلاح کوونکي یو.",""
19,2,12,"خبردار اوسئ بې شکه همدوی فساد کوونکي دي مګر دوی شعور نه لري (په خپل فساد نه پوهېږي).",""
20,2,13,"او کله چې دوی ته وویل شي چې ایمان راوړئ، لکه چې نورو خلکو ایمان راوړی دی، نو دوی وايي آیا موږ داسې ایمان راوړو لکه څنګه چې ناپوهانو (ایمان) راوړی دی؟ خبردار اوسئ بې شکه همدوی ناپوهان دي خو دوی (په خپله ناپوهۍ) نه پوهېږي.",""
21,2,14,"او کله چې ملاقات وکړي (منافقان) له هغو کسانو سره چې ایمان يې راوړی دی نو وايي: موږ هم ایمان راوړی دی. او کله چې خپلو (مشرانو) شیطانانو سره یوازې شي، نو دوی (بیا) وايي: بې شکه موږ له تاسو سره یو. بیشکه هم دا خبره ده چې مونږ مسخرې (ټوکې) کوونکي یو (په مؤمنانو پورې).",""
22,2,15,"الله تعالی پر دوی مسخرې (ملنډې) وهي او دوی ته مهلت ورکوي چې په سرکښۍ کې به سرګردان (حیران) وي.",""
23,2,16,"دوی هغه کسان دي چې ګمراهي یې د هدایت په بدل کې پېرلې (اخیستې) ده، نو هیڅ ګټه (فائده) ونه کړه سوداګرۍ د دوی او نه وو دوی لارموندونکي (حق ته).",""
24,2,17,"د دوى (منافقانو) مثال داسې دى، لكه چې يو څوك اور بل كړي او چې كله (دغه اور) د هغه شاوخوا روښانه كړي، نو الله -تعالی- د دوى رڼا (د سترګو بينايي) یوسي او دوی په تیارو کې پرېږدي چې هېڅ نه ویني.",""
25,2,18,"(دوی) کاڼه، ګونګیان او ړانده دي، نو دوی بېرته (له ګمراهۍ څخه) نه را ګرځي.",""
26,2,19,"يا د دوى مثال داسې دی لکه چې له اسمان نه شړكنده جړۍ (باران) اورېږي او له هغه سره تورې تيارې، تالنده او برېښنا هم وي، دوى (د تندر د ګړزار په اورېدلو) د مرګ له وېرې په غوږونو کې ګوتې ننباسي او الله تعالی د کافرانو را ګېروونکی دی.",""
27,2,20,"نږدې ده چې برېښنا په چټکۍ سره د دوی د سترګو رڼا یوسي، هر کله چې رڼا وکړي دوی ته نو مزل پکې وکړي او کله چې تیاره کړي په دوی نو هک پک ودرېږي او که چېرته د الله تعالی خوښه شي نو د دوی غوږونه او سترګې به یوسي (کاڼه او ړانده به یې کړي) بې شکه الله تعالی په هر څه قادر او برلاسی دی.",""
28,2,21,"ای خلکو! د خپل رب عبادت وکړئ، هغه (رب) چې تاسي او له تاسي وړاندې خلک یې پيدا کړي، کېدای شي چې تاسي ځانونه وژغورئ (د الله تعالی له عذاب څخه).",""
29,2,22,"هغه (رب) چې ستاسې لپاره یې زمکه فرش (هواره) کرځولې ده او هسک (آسمان) یې چت او د آسمان له لوري یې اوبه نازل کړې دي، نو راویستې یې دي په دې اوبو سره هر ډول مېوې ستاسې لپاره روزي (رزق)، نو له الله سره شریکان مه نیسئ، په داسې حال کې چې تاسي پوهېږئ (چې الله شریک نه لري).",""
30,2,23,"او که چېرې تاسي د هغه څه (قرآن) په اړه په شک کې یاست، چې مونږ پر خپل بنده باندې نازل کړی دی نو تاسي د دې (سورت) په څېر یو سورت راوړئ او له الله تعالی پرته خپل ټول ګواهان (مشران) راوبلئ، که چېرې تاسي ریښتېني یاست.",""
31,2,24,"پس که چېرې مو دا کار ونه کړ او هېڅکله یې (هم) نه شئ کولای، نو پس وساتئ (ځانونه) له هغه اور څخه چې خس (خشاک) د هغې انسانان او تیږې (ګټې) دي، چې تیار کړی شوی دی (دا اور) د کافرانو لپاره.",""
32,2,25,"او زیری ورکړه (ای محمده) هغو کسانو ته چې ایمان يې راوړی دی (په ټولو مؤمن به شیانو) او ښه (عملونه) یې کړي دي، چې بېشکه د دوی لپاره جنتونه دي چې د هغو (تر ماڼیو او ونو) لاندې ویالې بهېږي، هر کله چې له دې (جنتي مېوو) څخه دوی (جنتیانو) ته د رزق (خوړلو) لپاره (څه) ورکړل شي، نو دا (جنتیان) به وايي، دا هغه شان میوه ده چې موږ ته پخوا هم راکړل شوې وه او رابه وړلی شي دوی ته میوه هم رنګه (او په خوند کې سره بېله) او د دوی لپاره به په دغو (جنتونو) کې پاکې مېرمنې وي او دوی به په دغو (جنتونو) کې همېشه وي.",""
33,2,26,"بېشکه الله تعالی (له دې) حیا نه کوي چې یو مثال (له مثالونو څخه) بیان کړي، که (هغه) د ماشي (مثال هم) وي او یا هم له دې پورته وي، پس هغه کسان دې چې ایمان یې راوړی دی نو پوهیږي چې دا مثال د دوی د رب له لوري حق دی او هغه کسان چې کافران شوي دي نو وايي (له ډیرې ناپوهۍ او عناد څخه) چې الله تعالی په دې مثال سره د څه شي اراده کړې ده، ګمراه کوي په دې (مثال) سره ډیر خلک او ډېرو ته په دې (مثال) سره سمه لاره ښايې او نه ګمراه کوي (الله) په دې (مثال) سره مګر فاسقان.",""
34,2,27,"هغه خلك (فاسقان) چې د الله عهد له ټينګ تړون نه وروسته ماتوي او الله چې د كوم شي د پېوندولو امر كړيدى، هغه پرې کوي او په زمكه كې فساد خوروي، په حقيقت کې همدغه کسان (په دنیا او آخرت کې) زيانكاران دي.",""
35,2,28,"تاسې څنګه پر الله تعالی کافران کېږئ، په داسې حال کې چې تاسې مړه وئ، بیا (الله) تاسې ژوندي کړئ (د روح په درکولو سره) بیا به (الله) تاسې مړه کړي، بیا به (الله) تاسې ژوندي کړي، (او په آخر کې به) بیا هغه ته ورستانه کړای شئ.",""
36,2,29,"الله هغه ذات دی چې ستاسې لپاره یې د زمکې ټول شیان پیدا کړي دي، بیا یې هسک (آسمان) ته پام وکړ، پس اووه آسمانونه یې برابر کړل او هغه (الله) پر هر څه باندې ښه عالم (پوه) دی.",""
37,2,30,"او (یاد کړه ای محمده!) هغه وخت چې ستا پروردګار پرښتو ته وویل، چې بېشکه زه په زمکه کې د یوه خلیفه پیداکوونکی یم، نو پرښتو وویل: آیا ګرځوی (ټاکې) ته په زمکه کې هغه څوک چې په هغې کې به فساد کوي او (په ناحقه سره) به وینې تویوي، په داسې حال کې چې موږ ستا تسبیح او ثنا وایو او نسبت د پاکی کوو تاته، (الله) وویل: بېشکه زه په هغه څه پوهېږم چې تاسې پرې نه پوهېږئ.",""
38,2,31,"او (الله) آدم ته دټولو (ضروري شیانو) نومونه وښودل، بیا يې هغه ټول شیان پرښتو ته وړاندې کړل او ویې ویل ماته د دې شیانو نومونه راوښیئ که تاسې (په خپلې دغې وینا کې) ریښتیني یاست.",""
39,2,32,"پرښتو وویل، نسبت د پاکۍ کوو تاته (له ټولو عیبونو او اعتراضونو) موږ لره هیڅ علم نشته مګر د هغه څه چې تا موږ ته ښودلي، بېشکه ته هم ښه عالم او ښه د حکمت خاوند يې.",""
40,2,33,"(الله) وویل، اې آدمه! خبر کړه دوی په نومونو د دې شیانو، نو کله چې آدم خبر ورکړ دوی ته په نومونو د هغو شیانو، (الله) وویل: آیا ما تاسې ته نه ؤ ویلي چې بېشکه زه پوهیږم په پټو شیانو د آسمانونو او زمکې او په هغو شیانو چې تاسې یې ښکاره کوئ او په هغو شیانو چې تاسې یې پټوئ (په زړونو کې).",""
41,2,34,"او (یاد کړه اې محمده!) کله چې موږ پرښتو ته وویل چې آدم ته سجده وکړئ، پس دوی (ټولو) سجده وکړه، مګر (یوازې) ابلیس سرغړونه وکړه (له سجدی نه) او لويې يې وکړه او دی (له پخوا څخه د الله په علم کې) له کافرانو څخه ؤ.",""
42,2,35,"او موږ وویل، اې آدمه! ته او مېرمن دې په جنت کې میشت شئ او د جنت له میوو څخه وخورئ (څه چې مو زړه غواړي) پریمانه او چېرته مو چې خوښه وي او دې ونې ته (د خوړلو لپاره) مه نږدې کېږئ نو (که نږدې شوئ) د ظالمانو له ډلې به شئ.",""
