"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Ikirundi
# Translation ID: ikirundi_gehiti
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/ikirundi_gehiti
# Last update: 2024-11-23 19:42:30 (v1.0.4-csv.1)
# Check for updates: https://quranenc.com/check/ikirundi_gehiti/v1.0.4-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Kw’izina ry’Imana Allah, Nyenimpuhwe ku biremwa, Nyenimbabazi ku batoni bayo.",""
2,1,2,"Nihashimagizwe Imana Allah, Umubungabunzi w’ibiremwa vyose;",""
3,1,3,"Nyenimpuhwe ku biremwa vyose, Nyenimbabazi ku batoni bayo;",""
4,1,4,"Umwami Aganza umusi w’impera;",""
5,1,5,"Ni Wewe gusa twiyegereza mu vyo dukora vyose tukanagusenga, kandi ni Wewe gusa dutakambira mu gusaba imfashanyo.",""
6,1,6,"Turongore mu nzira igororotse;",""
7,1,7,"Inzira y’abo Wahezagiye Ukabaha inema, itari iy’abo Washavuriye (abayahudi) canke iy’abahuvye (abanaswara).",""
8,2,1,"Alif Laam Miim. Ni zimwe mu ndome z’ururimi rw’icarabu, Imana Allah Yatanguje bimwe mu bisomwa vya Qor’ani, kugira Ihige n’Abarabu basanzwe bakoresha izo ndome, ko boshobora kuzana Aayah n’imwe isa mu mvugo na Qor’ani, birabananira. Ico gica kiba igitangaro cemeza ko Qor’ani ari Igitabu c’Imana Allah.",""
9,2,2,"Ico Gitabu ca Qor’ani nta makenga kirimwo kuko camanuwe n’Imana Allah. Ni uburongozi ku bagamburukiramana.",""
