"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Somali
# Translation ID: somali_yacob
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/somali_yacob
# Last update: 2025-09-04 11:35:33 (v1.0.26-csv.1)
# Check for updates: https://quranenc.com/check/somali_yacob/v1.0.26-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"1. Waxaan Ku billaabi Magaca Alle, Naxariistaha (Naxariis guud ahaaneed), Naxariista badan.",""
2,1,2,"2. Ammaan idilkeed iyo mahad waxaa leh Allaah, Rabbiga uumanka.",""
3,1,3,"3. Naxariistaha (Naxariis guud ahaaneed), Naxariista Badan [1].","[1]. Ar-Raxmaan iyo Ar-Raxiim waa labo magac uu leeyahay Alle ee ka soo jeeda kelmedda Raxmah. Xagga naxwaha afka Carabiga labada magacba waa ku xeel dheeraansho Naxariisashada. Waa Deeq ballaaran iyo Naxariisasho guud ahaaneed labaduba. Raxmaan waxaa lagu tilmaamaa Alle oo keliya, waana sifad aan cid kale la wadaagin, halka Raxiim lagu tilmaami karo qof gaar ah. Nabiga s.c.w. waxaa uu Qur’aanku ku tilmaamay inuu yahay Raxiim. Raxmaan se waa wax ka sarreeya heerka Aadmiga (waa Naxariisasho durba ah oo guud ahaaneed) oo waqti ku kooban oo uunka oo idil gaadha, caddaaladdu waa qayb ka mid ah Naxariistan. Alle wuxuu isku tilaamamay sidoo kale Raxiim oo ah Naxariisasho joogto ah oo gaar ahaaneed oo u naxariisto mu’miniinta, denbi dhaafka iyo ceeb asturidda waa qayb ka mid ah Naxariistan."
4,1,4,"4. Boqorka Maalinta Jaazeynta [2].","[2]. Qiyaamada ee iska leh wax walba."
5,1,5,"5. Adigoo Keliya baynu (Allow) ku caabudi, oo Adigoo Keliya baynu ku weydiisan kaalmo.",""
6,1,6,"6. Nagu hanuuni (oo sug) Jidka Toosan.",""
7,1,7,"7. Jidka kuwa aad u Nicmaysay [3], aan aheyn (jidka) kuwa loo cadhooday [4] iyo (jidka) kuwa lunsan midna [5].","[3]. Kuwo Alle siiyey Galladdiisa waa Nabiyada, runlowyada, suubbanayaasha, iyo shuhadada. 
[4]. Kuwa uu Alle u cadhooday waa kuwa iyagoo u cilmi leh aan ku camal falin diinta ee diida xaqa, sida Yuhuudda iwm. 
[5]. Kuwa lunsan waa kuwo cilmi la’aan iska cibaadeysta iyagoo ku socda caqiidooyin gurracan sida Nasaarada iwm."
