"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Serbian
# Translation ID: serbian_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/serbian_rwwad
# Last update: 2024-04-01 02:44:42 (v1.0.4-csv.1)
# Check for updates: https://quranenc.com/check/serbian_rwwad/v1.0.4-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"У име Аллаха, Милостивог, Самилосног.",""
2,1,2,"Сва хвала припада Аллаху, Господару свих светова.",""
3,1,3,"Милостивом, Самилосном.",""
4,1,4,"Владару Судњега дана.",""
5,1,5,"Само Тебе обожавамо и само од Тебе помоћ тражимо.",""
6,1,6,"Упути нас на прави пут;",""
7,1,7,"На пут оних којима си благодати Своје даровао, а не на пут оних на које си се расрдио, нити оних који су залутали.",""
8,2,1,"Елиф Лам Мим [1]","[1] Ова самостална слова на почетку овог поглавља упућују на чудесну природу Кур'ана. Незнанобошци су били изазвани да напишу нешто слично Кур'ану, па нису могли да му се супротставе, иако је Кур'ан састављен од ових слова која сачињавају арапски језик. Неспособност Арапа да смисле било шта слично њему – иако су себе сматрали најречитијим народом – указује на то да је Кур’ан Божија објава."
9,2,2,"Ова Књига - у коју нема сумње - упута је богобојазнима",""
10,2,3,"онима који у невидљиви свет верују и који молитву обављају и удељују од онога чиме смо их Ми опскрбили,",""
11,2,4,"и онима који верују у оно што је објављено теби и што је објављено пре тебе, и који у Будући свет чврсто верују.",""
12,2,5,"Њима је Господар њихов на прави пут указао и то су они који су успели.",""
13,2,6,"Онима који не верују заиста је свеједно упозоравао ти њих или не упозоравао, они неће да верују.",""
14,2,7,"Аллах је запечатио срца њихова и уши њихове, а пред очима њиховим је застор; њих чека патња огромна.",""
15,2,8,"Има људи који говоре: ""Верујемо у Аллаха и Последњи дан"", а они нису верници!",""
16,2,9,"Они мисле да варају Аллаха и оне који верују, а никог осим себе они не варају, али то не осећају.",""
17,2,10,"У њиховим срцима је болест и Аллах им повећава ту болест. Њих чека болна патња због тога што су лагали.",""
18,2,11,"Када им се каже: ""Не правите неред на Земљи!"" Одговарају: ""Ми само ред успостављамо!""",""
19,2,12,"Напротив! Они су уистину прави смутљивци, али то не опажају.",""
