"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Swahili
# Translation ID: swahili_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/swahili_rwwad
# Last update: 2025-12-17 16:35:43 (v1.0.5-csv.1)
# Check for updates: https://quranenc.com/check/swahili_rwwad/v1.0.5-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Kwa jina la Mwenyezi Mungu, Mwingi wa rehema, Mwenye kurehemu.",""
2,1,2,"Sifa njema zote ni za Mwenyezi Mungu, Mola Mlezi wa walimwengu.[1]","[1] Mola Mlezi ni yule anayewalea walimwengu wote. Nao walimwengu ni kila kisichokuwa Mwenyezi Mungu."
3,1,3,"Mwingi wa rehema, Mwenye kurehemu.[1]","[1] Katika misingi waliyokubaliana juu yake watangulizi wema wa umma huu na maimamu wake ni kuamini kwamba Mwenyezi Mungu ana majina na sifa nzuri nzuri."
4,1,4,"Mmiliki wa Siku ya Malipo.",""
5,1,5,"Ni Wewe tu tunayeabudu, na ni Wewe tu tunayeomba msaada.",""
6,1,6,"Tuongoe kwenye njia iliyonyooka.",""
7,1,7,"Njia ya wale uliowaneemesha. Siyo ya wale waliokasirikiwa, wala waliopotea.",""
8,2,1,"Alif Lam Mim.[1]","[1] Herufi hizi ""Alif Lam Mim"" na herufi nyinginezo za mkato zilizo mwanzoni mwa sura mbalimbali zinaonyesha hali ya ushindi wa Qur-ani. Kwani, washirikina walipewa changamoto kwayo, lakini wakashindwa na hawakuweza kuipinga, ilhali inajumuisha herufi hizi zinazounda lugha ya Kiarabu. Kwa hivyo, kutoweza kwa Waarabu kuleta kitu kama hicho - ingawa walikuwa ndio watu wenye ufasaha zaidi - kunaonyesha kwamba Qur-ani ni ufunuo (wahyi) kutoka kwa Mwenyezi Mungu."
9,2,2,"Hiki ni Kitabu kisichokuwa na shaka yoyote ndani yake; ni uongofu kwa wacha Mungu.",""
10,2,3,"Ambao huyaamini ya ghaibu na hudumisha Sala, na hutoa katika yale tuliyowaruzuku.",""
11,2,4,"Na ambao wanayaamini yaliyoteremshwa kwako, na yaliyoteremshwa kabla yako, na Akhera wana yakini nayo.",""
12,2,5,"Hao wako kwenye uongofu utokao kwa Mola wao Mlezi, na hao ndio waliofaulu.",""
13,2,6,"Hakika, wale waliokufuru ni sawa kwao uwaonye au usiwaonye, hawaamini.",""
14,2,7,"Mwenyezi Mungu ameziziba nyoyo zao na kusikia kwao, na juu ya kuona kwao kuna pazia. Nao wana adhabu kubwa.",""
15,2,8,"Na katika watu, kuna wale wanaosema, ""Tumemwamini Mwenyezi Mungu na Siku ya Mwisho"", wala wao si Waumini.",""
16,2,9,"Wanamhadaa Mwenyezi Mungu na wale walioamini, lakini hawahadai ila nafsi zao; nao hawatambui.",""
17,2,10,"Nyoyoni mwao kuna maradhi[1], na Mwenyezi Mungu amewazidishia maradhi. Basi watakuwa na adhabu chungu kwa sababu ya kusema kwao uongo.","[1] Kilichokusudiwa na maradhi hapa ni maradhi ya shaka, dhana potovu na unafiki."
18,2,11,"Na wanapoambiwa: Msifanye uharibifu katika ardhi. Husema: ""Bali sisi ni watengenezaji.""",""
19,2,12,"Tambueni! Kwa hakika, wao ndio waharibifu, lakini hawatambui.",""
20,2,13,"Na wanapoambiwa: Aminini kama walivyoamini watu. Husema: ""Tuamini kama walivyoamini wapumbavu?"" Hakika wao ndio wapumbavu, lakini hawajui tu.",""
21,2,14,"Na wanapokutana na walioamini, husema: 'Tumeamini.' Na wanapokuwa peke yao na mashetani wao, husema: 'Hakika sisi tu pamoja nanyi. Hakika sisi tunafanya dhihaka tu.'",""
22,2,15,"Mwenyezi Mungu atawadhihaki na atawaacha katika upotovu wao wakitangatanga ovyo.",""
23,2,16,"Hao ndio walioununua upotovu kwa uongofu; lakini biashara yao haikupata faida, wala hawakuwa wenye kuongoka.",""
24,2,17,"Mfano wao ni kama mfano wa aliyekoka moto, na ulipoangaza vile vilivyo kandokando yake, Mwenyezi Mungu aliiondoa nuru yao na akawaacha katika viza mbalimbali, hawaoni.",""
25,2,18,"Ni viziwi, mabubu, vipofu; kwa hivyo hawatarejea.[1]","[1] Ni viziwi kwa sababu hawaisikii heri. Ni mabubu kwa sababu hawaitamki heri. Na ni vipofu kwa sababu hawaioni haki. Kwa hivyo, hawatarejea katika haki kwa kuwa waliiacha baada ya kuijua. Tofauti na mwenye kuiacha haki kwa ujinga na upotovu, yeye yuko karibu zaidi na kurudi katika haki."
26,2,19,"Au ni kama mvua kubwa itokayo mbinguni, ina viza mbalimbali, na radi, na umeme; wakawa wanatia vidole vyao katika masikio yao kwa sababu ya mapigo ya radi, kwa kuogopa kufa. Na Mwenyezi Mungu amewazingira makafiri.",""
27,2,20,"Unakaribia umeme huo kunyakua kuona kwao. Kila ukiwatolea mwangaza, wanatembea ndani yake. Na linapowawia giza, wanasimama. Na angelitaka Mwenyezi Mungu, angeliondoa kusikia kwao na kuona kwao. Hakika Mwenyezi Mungu ni Muweza mno wa kila kitu.",""
28,2,21,"Enyi watu! Muabuduni Mola wenu Mlezi aliyekuumbeni nyinyi na wale wa kabla yenu, ili mpate kucha (Mwenyezi Mungu).",""
29,2,22,"(Mwenyezi Mungu) ambaye alikufanyieni ardhi hii kuwa kama tandiko, na mbingu kama paa. Na akateremsha maji kutoka mbinguni, na kwayo akatoa mazao yawe riziki zenu. Basi msimfanyie Mwenyezi Mungu wenza, na hali nyinyi mnajua.",""
30,2,23,"Na ikiwa mna shaka kwa hayo tuliyomteremshia mja wetu, basi leteni sura moja ya mfano wake, na muwaite mashahidi wenu kando na Mwenyezi Mungu, ikiwa nyinyi ni wakweli.",""
31,2,24,"Na ikiwa hamtafanya - na wala hamtofanya kamwe - basi uogopeni Moto ambao kuni zake ni watu na mawe, umeandaliwa makafiri.",""
32,2,25,"Na wabashirie walioamini na wakatenda mema kwamba watapata mabustani yapitayo mito chini yake; kila watakapopewa matunda humo, watasema: 'Haya ndiyo kama tuliyopewa mbele.' Na wataletewa matunda yaliyofanana; na humo watakuwa na wake waliotakaswa; na wao humo watadumu.",""
33,2,26,"Hakika Mwenyezi Mungu haoni haya kutoa mfano hata wa mbu na ulio wa zaidi yake. Ama wale walioamini hujua ya kwamba hiyo ni haki iliyotoka kwa Mola wao Mlezi. Lakini wale waliokufuru, husema: 'Ni nini analokusudia Mwenyezi Mungu kwa mfano huu?' Kwa mfano huu huwapoteza wengi na huwaongoa wengi; lakini hawapotezi kwa huo ila wale wavukao mipaka.",""
34,2,27,"Wale wanaovunja agano la Mwenyezi Mungu baada ya kwishalifunga, na wakayakata aliyoamrisha Mwenyezi Mungu kuungwa, na wakafanya uharibifu katika ardhi; hao ndio wenye hasara.",""
35,2,28,"Vipi mnamkufuru Mwenyezi Mungu na hali mlikuwa wafu, akakufufueni! Kisha atakufisheni, tena atakufufueni, kisha kwake mtarejeshwa?",""
