"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Tagalog
# Translation ID: tagalog_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/tagalog_rwwad
# Last update: 2025-02-05 01:31:34 (v1.1.4-csv.1)
# Check for updates: https://quranenc.com/check/tagalog_rwwad/v1.1.4-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Sa ngalan ni Allāh,[1] ang Napakamaawain, ang Maawain.","[1] Ang pangalang Allāh ay pangngalang pantanging ukol lamang sa tunay na Diyos."
2,1,2,"Ang papuri ay ukol kay Allāh, ang Panginoon[2] ng mga nilalang,[3]","[2] Ang Panginoon (Rabb sa wikang Arabe) ay ang Tagapag-alaga, ang Tagalikha, ang Tagapagtustos, at ang Tagapangsiwa.
[3] Ang nilalang (`ālam sa wikang Arabe) ay ang bawat anumang iba pa kay Allāh, gaya ng tao, jinn, anghel, at iba pa."
3,1,3,"ang Napakamaawain, ang Maawain,",""
4,1,4,"ang Tagapagmay-ari ng Araw ng Pagtutumbas.",""
5,1,5,"Sa Iyo [lamang] kami sumasamba at sa Iyo [lamang] kami nagpapatulong.",""
6,1,6,"Magpatnubay Ka sa amin sa landasing tuwid:",""
7,1,7,"ang landasin ng mga biniyayaan[4] Mo,[5] hindi ng mga kinagalitan,[6] at hindi ng mga naliligaw.[7]","[4] Ang mga biniyayaan dito ay ang mga propeta, ang mga nagpapakatotoo, mga martir, at mga maayos.
[5] Sa istilo ng pagsasalin dito, ang mga panghalip na nagsisimula sa malaking titik gaya ng Ako, Ko, Akin, Ikaw, Mo, Iyo ay tumutukoy kay Allāh.
[6] Sila ay ang mga nakakilala sa katotohanan at hindi sumunod dito.
[7] Sila ay ang mga naligaw sa katotohan, na hindi napatnubayan."
8,2,1,"Alif. Lām. Mīm.[1]","[1] Ang Qur’ān ay nasa wikang Arabe na binubuo ng mga titiks Arabe gaya ng mga ito subalit walang isa mang nakagawa ng kahit pinkamaiikling kabanata ng mahimalang kababalaghan ng Qur’ān."
9,2,2,"Ang Aklat[2] na ito ay walang pag-aalinlangan dito,[3] isang patnubay ukol sa mga tagapangilag magkasala,","[2] Sa istilo ng pagkakasalin dito, ang Aklat na may malaking titik A ay tumutukoy sa Qur’an.
[3] O Ang Aklat na ito ay walang mapag-aalinlanganan; nasa loob nito ay patnubay ukol sa mga tagapangilag magkasala,"
10,2,3,"na mga sumasampalataya sa nakalingid,[4] nagpapanatili sa pagdarasal, at mula sa itinustos Namin sa kanila ay gumugugol,","[4] Ang bawat hindi natatalos ng mga pandama at nakalingid sa atin gaya ng kairalan ng mga anghel, mga jinn, Kabilang-buhay, Paraiso, at Impiyerno."
11,2,4,"na mga sumasampalataya sa [Qur’ān na] pinababa sa iyo at sa pinababa bago mo[5] pa, at sa Kabilang-buhay sila ay nakatitiyak.","[5] Sa istilo ng pagsasalin dito, madalas na ang mga panghalip na ikaw, ka, mo, at iyo ay tumutukoy kay Propeta Muhammad."
12,2,5,"Ang mga iyon ay nasa patnubay mula sa Panginoon nila at ang mga iyon ay ang mga magtatagumpay.",""
13,2,6,"Tunay na ang mga tumangging sumampalataya – magkapantay sa kanila nagbabala ka man sa kanila o hindi ka nagbabala sa kanila – ay hindi sumasampalataya.",""
14,2,7,"Magpapasak si Allāh sa mga puso nila at sa pandinig nila. Sa mga paningin nila ay may pambalot. Ukol sa kanila ay isang pagdurusang sukdulan.",""
